tier,case_id,range_km,bearing_deg,target_accel_x_mps2,apn_gain,seed,nearest_distance_m,rho_fuze,entered_R_fuze,max_achieved_lateral_g,stable_trace_count,acceleration_valid_observed,acceleration_rmse_mps2,terminal_acceleration_error_mps2,max_estimated_acceleration_mps2,max_apn_acceleration_mps2,max_component_sum_error_mps2
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bm30_am8_g0_s20260621,8.0,-30.0,-8.0,0.0,20260621,3.750852040450109,0.25005680269667396,True,30.23407176512631,115,True,17.67547304051432,3.525331878046044,37.7007565056109,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bm30_ap8_g0_s20260621,8.0,-30.0,8.0,0.0,20260621,2.350565230257909,0.1567043486838606,True,29.601125991177643,107,True,12.88794997759423,2.812131732008029,41.22471359814295,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bp30_am8_g0_s20260621,8.0,30.0,-8.0,0.0,20260621,1.3977732973529033,0.09318488649019356,True,30.436484794317845,113,True,17.54023421525474,1.8992537254105541,38.27080923760779,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bp30_ap8_g0_s20260621,8.0,30.0,8.0,0.0,20260621,3.8784307422720143,0.25856204948480094,True,30.655108712632018,121,True,12.871240211556808,2.626324957390257,41.49916406311202,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bm30_am8_g0_s20260622,8.0,-30.0,-8.0,0.0,20260622,3.3793847667379358,0.22529231778252906,True,27.6798726577378,116,True,41.46980787770654,7.591848466093272,83.57242907048877,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bm30_ap8_g0_s20260622,8.0,-30.0,8.0,0.0,20260622,1.8008367111327757,0.12005578074218505,True,26.778622972075368,107,True,38.14308222300093,4.919182714467587,88.16195100379099,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bp30_am8_g0_s20260622,8.0,30.0,-8.0,0.0,20260622,2.182515195928234,0.14550101306188226,True,32.320447099743966,116,True,41.66559789397088,6.189220213984149,83.36292005950584,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bp30_ap8_g0_s20260622,8.0,30.0,8.0,0.0,20260622,4.676256066971969,0.3117504044647979,True,32.65592845342387,128,True,34.6449684838591,2.008359455287686,88.56425344660575,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bm30_am8_g0_s20260623,8.0,-30.0,-8.0,0.0,20260623,3.3980606616111997,0.22653737744074665,True,29.246321130982317,118,True,7.905471121091464,3.364211837905112,28.615882057614712,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bm30_ap8_g0_s20260623,8.0,-30.0,8.0,0.0,20260623,2.6766116518193797,0.17844077678795864,True,28.506620090517195,109,True,11.429410917871477,0.519856419334407,27.40635467200155,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bp30_am8_g0_s20260623,8.0,30.0,-8.0,0.0,20260623,1.4331005741482836,0.09554003827655225,True,29.725644185113463,112,True,6.963858417986092,4.713756294751892,28.673649530985116,0.0,0.0
noisy_stage5_holdout,p10_noisy_stage5_holdout_r8_bp30_ap8_g0_s20260623,8.0,30.0,8.0,0.0,20260623,3.685207204256155,0.24568048028374365,True,30.162564215242313,122,True,11.516023706813012,2.34226192100004,27.174922976256397,0.0,0.0
