tier,apn_gain,run_count,hit_count,miss_count,worst_nearest_distance_m,mean_nearest_distance_m,total_excess_over_R_fuze_m,max_acceleration_rmse_mps2,max_terminal_acceleration_error_mps2,max_estimated_acceleration_mps2,min_maneuver_apn_acceleration_mps2,max_constant_velocity_apn_acceleration_mps2,max_constant_velocity_false_acceleration_mps2,max_achieved_lateral_g,max_component_sum_error_mps2
clean_stage4,0.0,45,43,2,88.78603412561228,4.551209686967128,147.5718496154152,8.349994692630857e-07,8.348197430426536e-07,7.999999166805126,0.0,0.0,7.160946798094186e-10,34.99999999999999,0.0
clean_stage4,0.125,45,43,2,86.8044902544037,4.451304149750202,143.60876176365508,8.349994692630857e-07,8.346469304850705e-07,7.999999166805126,0.13939044917208934,5.454786905433664e-11,7.160946798094186e-10,34.99999999999999,2.173068371966688e-14
clean_stage4,0.25,45,43,2,84.85325436115133,4.352880968224342,139.70628986429665,8.349994692630857e-07,8.346472804271393e-07,7.999999166805126,0.2787842638705624,1.0834637400592001e-10,7.160946798094186e-10,34.99999999999999,1.7576622315085988e-14
clean_stage4,0.5,45,43,2,81.50554424837541,4.18109737857817,133.01086930805872,8.349994692630857e-07,8.346469304789861e-07,7.999999166805126,0.5575819853492865,2.1608584474053404e-10,7.160946798094186e-10,34.99999999999999,2.1495076119387793e-14
noisy_stage5_holdout,0.0,12,12,0,4.432826213049203,2.9326325155955666,0.0,4.053382523664228,1.7011707402527183,14.697550781597814,0.0,0.0,0.0,31.70952770975838,0.0
noisy_stage5_holdout,0.125,12,12,0,4.443710494586386,2.927655676808516,0.0,4.053404773292716,1.7010554934785949,14.69756559748024,0.8828626849091283,0.0,0.0,31.70952770975838,1.1553533652029536e-13
noisy_stage5_holdout,0.25,12,12,0,4.4540908207359715,2.9394959935693863,0.0,4.053421385886083,1.700940903835297,14.697580548584147,1.7659310901614151,0.0,0.0,31.70952770975838,1.734122874576198e-13
noisy_stage5_holdout,0.5,12,12,0,4.487795464205697,2.9395985992470965,0.0,4.053457287305299,1.7007105191590288,14.697610851627863,3.5326761372361015,0.0,0.0,31.70952770975838,8.652334939510491e-14
