range_km,-90,-75,-60,-45,-30,-15,0,15,30,45,60,75,90
4,,,,,0.008649500378608573,0.8857869446659574,0.8896622497206044,0.8856614848039789,0.008657485926310137,,,,
6,,,,,0.00731975324788651,0.8857890082487979,0.889662287842263,0.8856564974238481,0.007325613998941034,,,,
8,,,,,0.006350331908151525,0.8857907246812567,0.8896623055988623,0.8856517531279012,0.0063555841366786684,,,,
10,,,,,0.0052409412636684445,0.9181217607341536,0.8896623056315116,0.9040254469880563,0.00524598339647253,,,,
12,,,,,0.004158375862262576,0.5249091127022022,0.8896623056125779,0.5269772396978782,0.004138148282556879,,,,
16,,,,,,0.4728398002864054,0.8896623055713707,0.47353601708843723,,,,,
