range_km,-90,-75,-60,-45,-30,-15,0,15,30,45,60,75,90
4,negative_control_satisfied,observed_marginal,observed_marginal,observed_marginal,satisfied,satisfied,satisfied,satisfied,satisfied,observed_marginal,observed_marginal,observed_marginal,negative_control_satisfied
6,negative_control_satisfied,negative_control_satisfied,observed_marginal,observed_marginal,satisfied,satisfied,satisfied,satisfied,satisfied,observed_marginal,observed_marginal,negative_control_satisfied,negative_control_satisfied
8,negative_control_satisfied,negative_control_satisfied,observed_marginal,observed_marginal,satisfied,satisfied,satisfied,satisfied,satisfied,observed_marginal,observed_marginal,negative_control_satisfied,negative_control_satisfied
10,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,observed_marginal,observed_marginal,satisfied,satisfied,satisfied,observed_marginal,observed_marginal,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied
12,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,observed_marginal,observed_marginal,satisfied,observed_marginal,observed_marginal,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied
16,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,observed_marginal,observed_marginal,observed_marginal,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied,negative_control_satisfied
