candidate_id,diagnostics_profile_attached,grid_tier,hit_run_count,max_achieved_lateral_g,max_capture_component_g,max_guidance_saturation_fraction,max_mirror_abs_difference_m,max_mirror_abs_difference_rho,max_postclamp_command_g,max_preclamp_command_g,max_seed_spread_m,max_seed_spread_rho,minimum_abs_rho_minus_one,mirror_entry_classification_consistent,nav_gain,nearest_distance_max_m,nearest_distance_mean_m,nearest_distance_min_m,offset_deg,range_km,refinement_reasons,resolved_runtime_contract_matches,rho_max,rho_mean,rho_median,rho_min,robust_state,run_count,seed_count,signed_bearing_count,stage4_launch_class,within_boundary_rho_band
nav_gain_3p5,False,main,3,1.8014706545557722,0.0,0.0,0.0,0.0,6.124999999999999,6.124999999999999,0.0,0.0,0.999909169338077,True,3.5,0.0013624599288445817,0.0013624599288445817,0.0013624599288445817,0.0,4.0,[],True,9.08306619229721e-05,9.083066192297209e-05,9.08306619229721e-05,9.08306619229721e-05,robust_hit,3,3,1,N,False
nav_gain_3p5,False,main,6,8.369892508795397,0.0,0.0,2.9934778491002905e-05,1.9956518994001946e-06,8.381695777344767,8.381695777344767,0.0,0.0,0.9998975689291107,True,3.5,0.0015364660633385705,0.0015214986740930692,0.0015065312848475676,5.0,4.0,[],True,0.00010243107088923804,0.00010143324493953795,0.00010143324493953795,0.00010043541898983784,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,14.218313253516554,0.0,0.0,1.975596552042792e-05,1.3170643680285272e-06,14.237862745815258,14.237862745815258,0.0,0.0,0.9999040423623254,True,3.5,0.001439364565118878,0.0014294865823586639,0.00141960859959845,10.0,4.0,[],True,9.595763767459186e-05,9.52991054905776e-05,9.529910549057759e-05,9.464057330656333e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,18.909911485753465,0.0,0.0,5.057960810174976e-05,3.3719738734499876e-06,18.93576078256129,18.93576078256129,0.0,0.0,0.9998429869908845,True,3.5,0.0023551951367324197,0.002329905332681545,0.00230461552863067,15.0,4.0,[],True,0.00015701300911549464,0.00015532702217876964,0.00015532702217876964,0.00015364103524204465,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,23.326590214109903,0.0,0.0,3.4944446270423904e-05,2.3296297513615837e-06,23.35910305145994,23.35910305145994,0.0,0.0,0.9998855826150981,True,3.5,0.001716260773528624,0.001698788550393412,0.0016813163272582001,20.0,4.0,[],True,0.00011441738490190826,0.00011325257002622748,0.00011325257002622747,0.00011208775515054668,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,27.50457098640753,0.0,0.0,5.0963424910918306e-05,3.3975616607278907e-06,27.54345793521804,27.54345793521804,0.0,0.0,0.9997082719384597,True,3.5,0.004375920923104131,0.0043504392106486715,0.004324957498193212,25.0,4.0,[],True,0.00029172806154027537,0.00029002928070991145,0.0002900292807099114,0.0002883304998795475,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,31.425781951422625,0.0,0.0,1.8137852389740056e-05,1.2091901593160091e-06,31.471532533688798,31.471532533688798,0.0,0.0,0.9999012244579383,True,3.5,0.0014816331309260734,0.0014725642047312033,0.0014634952785363333,30.0,4.0,[],True,9.877554206173823e-05,9.817094698208023e-05,9.817094698208023e-05,9.756635190242222e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,34.99221777800405,0.0,0.042735042735042736,1.3164689195583387e-05,8.776459463722357e-07,35.0,35.13696413466065,0.0,0.0,0.9999036770233674,True,3.5,0.0014448446494903827,0.001438262304892591,0.0014316799602947993,35.0,4.0,[],True,9.632297663269219e-05,9.588415365950608e-05,9.588415365950606e-05,9.544533068631995e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,34.99999999992698,0.0,0.268,7.393931433052935e-06,4.929287622035326e-07,35.0,40.569338766524474,0.0,0.0,0.9999064384689004,True,3.5,0.0014034229664950288,0.0013997260007785025,0.001396029035061976,40.0,4.0,[],True,9.356153109966859e-05,9.331506671856683e-05,9.331506671856683e-05,9.306860233746506e-05,robust_hit,6,3,2,N,False
nav_gain_3p5,False,main,6,34.99999999999999,0.0,0.3951048951048951,6.244345519558145e-06,4.162897013038709e-07,35.0,48.93023774358638,0.0,0.0,0.9999036652513812,True,3.5,0.001445021229282404,0.0014418990565226249,0.0014387768837628458,45.0,4.0,[],True,9.633474861882693e-05,9.612660376817499e-05,9.612660376817499e-05,9.591845891752305e-05,robust_hit,6,3,2,N,False
