absolute_offset_deg,4,5,6,7,8,9,10,11,12,13,14,15,16
0,-4.04176752091,-4.04179961993,-4.04182819559,-4.04184652468,-4.0418465147,-4.04184650441,-4.04184649381,-4.0418464829,-4.04184647167,-4.0418464601,-4.04184644821,-4.04184643598,-4.04184642341
5,-4.01726910971,-4.04082729997,-4.04109067223,-4.04107987805,-4.04134771955,-4.04122220607,-4.04145694125,-4.04139183057,-4.04149540387,-4.04141195948,-4.04144122468,-4.04145631852,-4.04150450814
10,-4.04151817831,-4.04077010533,-4.03941308353,-4.0397026698,-4.04005743032,-4.04100386872,-4.03998579056,-4.04086052724,-4.04020487056,-4.04110601262,-4.0401709466,-4.04022927838,-4.04112773425
15,-4.04074046354,-4.0358991361,-4.03694861223,-4.03807752981,-4.03776024198,-4.04001134699,-4.03857048933,-4.03940607545,-4.04105471566,-4.04018729252,-4.03989904171,-4.03897794221,-4.03954728585
20,-3.86773739427,-4.03904008679,-4.03735591858,-4.03714116826,-4.03836844116,-4.03997241256,-4.03874166031,-4.03836563854,-4.04062349269,-4.039363604,-4.03826082137,-4.04048779782,-4.03848454391
25,-3.94327840987,-4.03065522371,-4.03587749004,-4.03371747978,-4.0398731429,-4.03590356444,-4.03829192988,-4.03808839232,-4.03540109827,-4.03649386558,-4.03882764742,-4.03609719068,-4.03911804115
30,-4.04031363793,-4.03443397784,-4.03591938486,-4.03818424196,-4.03765755048,-4.03287764985,-4.03438766766,-4.03728689023,-4.03766502547,-4.038278633,-4.034686881,-4.03592038974,-4.03822736137
35,-4.02971824154,-4.02528443312,-4.03511329848,-4.0367904553,-4.03427544652,-4.03284566528,-4.03522985517,-4.03348330829,-4.03357971124,-4.03269447821,-4.03453718258,-4.03836747367,-4.03442746531
40,-4.01963881687,-4.03593305846,-4.03394640042,-4.03050422603,-4.0365859148,-4.03034195585,-4.03425138583,-4.0308676707,-4.03226781319,-4.03545339895,-4.03665752843,-4.03170101788,-4.03538973456
45,-4.03515596754,-4.02456395819,-4.02608482876,-4.03568477502,-4.03408629356,-4.03794974161,-4.03410935087,-4.03050011668,-4.03223584091,-4.03136746087,-4.03261120196,-4.03125805899,-4.03150624627
50,-4.02422571055,-4.02553939829,-4.02800949198,-4.03552125572,-4.02938254845,-4.03011963752,-4.03138100702,-4.03624252549,-4.03186578456,-4.03264575995,-4.02885620251,-4.03529683295,-4.02985308579
55,0.891884422908,-4.0268779692,-4.03092137995,-4.02724964927,-4.02779762331,-4.03272366297,-4.03371153013,-4.03519028886,-4.03584900482,-4.0348127339,-4.02944558406,-4.03056048588,-4.03147373626
60,1.80396913765,1.6834504844,1.38379542851,0.796161644989,-1.36482925857,-3.97620412063,-1.25983679653,-4.03746827136,-4.03998484467,-4.03775742309,-0.277540366251,0.835752969546,1.04741359904
65,2.05816350316,2.13167872967,2.16841529191,2.1887340555,2.20484924104,2.22429768382,2.25646764594,2.30166535683,2.35376149767,2.40170350993,2.44626816116,2.48525042569,2.52081086675
70,2.23021874318,2.32333109828,2.40459036697,2.47015618578,2.52974782378,2.58611916203,2.63848637581,2.68787247604,2.73102239529,2.77031860417,2.80553880461,2.8387372199,2.86891704654
75,2.36985877396,2.46841074471,2.5499640022,2.61971300404,2.68030843403,2.73317775918,2.78072609309,2.8239912414,2.8631375909,2.89890347394,2.93197769759,2.9627142286,2.99130860032
80,2.41886871086,2.51598068901,2.59531200926,2.66238024827,2.72047061422,2.77171088479,2.8175441078,2.85900362453,2.89685551656,2.9316748405,2.9639117659,2.99392562776,3.02199904478
85,2.42474044638,2.52176703577,2.60104593287,2.66807250996,2.726124624,2.77732557887,2.82312337527,2.864550306,2.90236844104,2.93715641388,2.96936395987,2.99934760384,3.0273946931
90,2.42597970856,2.52288576918,2.60206486837,2.6690103636,2.72700147051,2.77815341705,2.8239104957,2.86530287611,2.90309120523,2.93785313113,2.9700376714,3.00000077934,3.02802940847
