case_id,target_motion_layer,target_acceleration_x_mps2,range_km,bearing_deg,old_launch_class,observed_chain_state,candidate_launch_class,transition,stable_across_seeds,seed_count,nearest_distance_min_m,nearest_distance_max_m,legacy_negative_control_alert,in_radius_fuze_blocked,terminal_track_residual_causes
kces_anchor_grid_cv_10km_m15deg,nonmaneuvering_constant_velocity,0.0,10.0,-15.0,N,complete_effect_chain,N,retain_N,True,3,0.001367000479717894,0.001367000479717894,False,False,
kces_anchor_grid_cv_10km_m30deg,nonmaneuvering_constant_velocity,0.0,10.0,-30.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013695418887230077,0.0013695418887230077,False,False,
kces_anchor_grid_cv_10km_m45deg,nonmaneuvering_constant_velocity,0.0,10.0,-45.0,M,complete_effect_chain,N,promote_to_N,True,3,0.001402140071388814,0.001402140071388814,False,False,
kces_anchor_grid_cv_10km_m60deg,nonmaneuvering_constant_velocity,0.0,10.0,-60.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0014000715131809443,0.0014000715131809443,True,False,
kces_anchor_grid_cv_10km_m75deg,nonmaneuvering_constant_velocity,0.0,10.0,-75.0,O,outside_no_load,O,retain_O,True,3,7942.472099642712,7942.472099642712,False,False,
kces_anchor_grid_cv_10km_m90deg,nonmaneuvering_constant_velocity,0.0,10.0,-90.0,O,outside_no_load,O,retain_O,True,3,10000.040404851581,10000.040404851581,False,False,
kces_anchor_grid_cv_10km_p0deg,nonmaneuvering_constant_velocity,0.0,10.0,0.0,N,complete_effect_chain,N,retain_N,True,3,0.0013622121991446634,0.0013622121991446634,False,False,
kces_anchor_grid_cv_10km_p15deg,nonmaneuvering_constant_velocity,0.0,10.0,15.0,N,complete_effect_chain,N,retain_N,True,3,0.0013640877140751473,0.0013640877140751473,False,False,
kces_anchor_grid_cv_10km_p30deg,nonmaneuvering_constant_velocity,0.0,10.0,30.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013663727542851292,0.0013663727542851292,False,False,
kces_anchor_grid_cv_10km_p45deg,nonmaneuvering_constant_velocity,0.0,10.0,45.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013970930274600287,0.0013970930274600287,False,False,
kces_anchor_grid_cv_10km_p60deg,nonmaneuvering_constant_velocity,0.0,10.0,60.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013994803991079212,0.0013994803991079212,True,False,
kces_anchor_grid_cv_10km_p75deg,nonmaneuvering_constant_velocity,0.0,10.0,75.0,O,outside_no_load,O,retain_O,True,3,7942.472137535024,7942.472137535024,False,False,
kces_anchor_grid_cv_10km_p90deg,nonmaneuvering_constant_velocity,0.0,10.0,90.0,O,outside_no_load,O,retain_O,True,3,10000.040518998048,10000.040518998048,False,False,
kces_anchor_grid_cv_12km_m15deg,nonmaneuvering_constant_velocity,0.0,12.0,-15.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013705427274449233,0.0013705427274449233,False,False,
kces_anchor_grid_cv_12km_m30deg,nonmaneuvering_constant_velocity,0.0,12.0,-30.0,M,complete_effect_chain,N,promote_to_N,True,3,0.001380850645794409,0.001380850645794409,False,False,
kces_anchor_grid_cv_12km_m45deg,nonmaneuvering_constant_velocity,0.0,12.0,-45.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013841337507012703,0.0013841337507012703,True,False,
kces_anchor_grid_cv_12km_m60deg,nonmaneuvering_constant_velocity,0.0,12.0,-60.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013925410669541598,0.0013925410669541598,True,False,
kces_anchor_grid_cv_12km_m75deg,nonmaneuvering_constant_velocity,0.0,12.0,-75.0,O,outside_no_load,O,retain_O,True,3,9679.150533334392,9679.150533334392,False,False,
kces_anchor_grid_cv_12km_m90deg,nonmaneuvering_constant_velocity,0.0,12.0,-90.0,O,outside_no_load,O,retain_O,True,3,12000.033661218218,12000.033661218218,False,False,
kces_anchor_grid_cv_12km_p0deg,nonmaneuvering_constant_velocity,0.0,12.0,0.0,N,complete_effect_chain,N,retain_N,True,3,0.0013622122686153253,0.0013622122686153253,False,False,
kces_anchor_grid_cv_12km_p15deg,nonmaneuvering_constant_velocity,0.0,12.0,15.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013665419301073169,0.0013665419301073169,False,False,
kces_anchor_grid_cv_12km_p30deg,nonmaneuvering_constant_velocity,0.0,12.0,30.0,M,complete_effect_chain,N,promote_to_N,True,3,0.001375627849376836,0.001375627849376836,False,False,
kces_anchor_grid_cv_12km_p45deg,nonmaneuvering_constant_velocity,0.0,12.0,45.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013804545360618027,0.0013804545360618027,True,False,
kces_anchor_grid_cv_12km_p60deg,nonmaneuvering_constant_velocity,0.0,12.0,60.0,O,complete_effect_chain,N,promote_to_N,True,3,0.001392188458806662,0.001392188458806662,True,False,
kces_anchor_grid_cv_12km_p75deg,nonmaneuvering_constant_velocity,0.0,12.0,75.0,O,outside_no_load,O,retain_O,True,3,9679.15057195367,9679.15057195367,False,False,
kces_anchor_grid_cv_12km_p90deg,nonmaneuvering_constant_velocity,0.0,12.0,90.0,O,outside_no_load,O,retain_O,True,3,12000.033775364827,12000.033775364827,False,False,
kces_anchor_grid_cv_16km_m15deg,nonmaneuvering_constant_velocity,0.0,16.0,-15.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013654878348433297,0.0013654878348433297,False,False,
kces_anchor_grid_cv_16km_m30deg,nonmaneuvering_constant_velocity,0.0,16.0,-30.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013849725587759766,0.0013849725587759766,True,False,
kces_anchor_grid_cv_16km_m45deg,nonmaneuvering_constant_velocity,0.0,16.0,-45.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013812070147824122,0.0013812070147824122,True,False,
kces_anchor_grid_cv_16km_m60deg,nonmaneuvering_constant_velocity,0.0,16.0,-60.0,O,complete_effect_chain,N,promote_to_N,True,3,0.0013948673822559003,0.0013948673822559003,True,False,
kces_anchor_grid_cv_16km_m75deg,nonmaneuvering_constant_velocity,0.0,16.0,-75.0,O,outside_no_load,O,retain_O,True,3,13158.387289284567,13158.387289284567,False,False,
kces_anchor_grid_cv_16km_m90deg,nonmaneuvering_constant_velocity,0.0,16.0,-90.0,O,outside_no_load,O,retain_O,True,3,16000.025231660811,16000.025231660811,False,False,
kces_anchor_grid_cv_16km_p0deg,nonmaneuvering_constant_velocity,0.0,16.0,0.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013622124199678543,0.0013622124199678543,False,False,
kces_anchor_grid_cv_16km_p15deg,nonmaneuvering_constant_velocity,0.0,16.0,15.0,M,complete_effect_chain,N,promote_to_N,True,3,0.0013631652629329033,0.0013631652629329033,False,False,
