aspect_bucket,bearing_deg,capture_g_p95,case_group,case_id,clamp_fraction,entered_R_fuze,launch_class,launch_range_factors,local_forward_m,local_right_m,local_up_m,matrix,max_capture_g,max_postclamp_g,max_preclamp_g,nearest_approach_time_s,nearest_distance_m,offset_deg,profile,profile_id,range_km,rho_fuze,terminal_regime_sample_counts,trace_sample_count
beam,30.0,80.71479178227275,clamp_audit,capture_clamp_2p0km_p30deg,0.5714285714285714,True,audit,"{""base_denominator_m"": 2000.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0005, ""terminal_reciprocal_raw"": 3.0, ""terminal_regime"": ""unity"", ""terminal_weight"": 1.0}",-2.912885801072048,3.1315083118158347,0.02560027790512573,clamp_audit,117.21066595749312,35.0,660.3086875849215,2.3050247225762206,4.276903479304466,30.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P4,2.0,0.2851268986202978,"{""unity"": 28}",28
beam,30.0,12076.71439609928,clamp_audit,capture_clamp_2p0km_p30deg,0.6551724137931034,True,audit,"{""base_denominator_m"": 2000.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0015, ""terminal_reciprocal_raw"": 3.0, ""terminal_regime"": ""reciprocal_unclamped"", ""terminal_weight"": 3.0}",-6.025944839798633,6.183534429407976,0.05041894125843535,clamp_audit,133761.59124856885,35.0,133765.17600704145,2.3187609386032126,8.634271904544455,30.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 2, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P7,2.0,0.5756181269696303,"{""reciprocal_unclamped"": 29}",29
beam,-30.0,104.82447727013255,clamp_audit,capture_clamp_2p4km_m30deg,0.45161290322580644,True,audit,"{""base_denominator_m"": 2400.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0010416666666666667, ""terminal_reciprocal_raw"": 2.5, ""terminal_regime"": ""upper_boundary"", ""terminal_weight"": 2.5}",-4.0522279466627165,-4.626557626886792,0.0019980554824865007,clamp_audit,433.9872334009295,35.0,1068.596146852774,2.5658164851449805,6.150251279325345,30.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P1,2.4,0.410016751955023,"{""upper_clamped"": 31}",31
beam,-30.0,77.49692706528057,clamp_audit,capture_clamp_2p4km_m30deg,0.41935483870967744,True,audit,"{""base_denominator_m"": 2400.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0004166666666666667, ""terminal_reciprocal_raw"": 2.5, ""terminal_regime"": ""unity"", ""terminal_weight"": 1.0}",-2.6853514648028733,-3.1489142348839274,0.0014779778327471212,clamp_audit,111.05821439590777,35.0,670.7088541078336,2.554411163165345,4.138450861444677,30.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P4,2.4,0.27589672409631183,"{""unity"": 31}",31
beam,-30.0,11375.81526322272,clamp_audit,capture_clamp_2p4km_m30deg,0.53125,True,audit,"{""base_denominator_m"": 2400.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0010416666666666667, ""terminal_reciprocal_raw"": 2.5, ""terminal_regime"": ""reciprocal_unclamped"", ""terminal_weight"": 2.5}",-5.477503270343845,-6.134904353915457,0.0026598404660106876,clamp_audit,177705.7625666078,35.0,177709.67374385198,2.5733056850428517,8.224360192931298,30.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 2, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P7,2.4,0.5482906795287532,"{""reciprocal_unclamped"": 32}",32
beam,-15.0,76.63187599554028,clamp_audit,capture_clamp_2p4km_m15deg,0.034482758620689655,True,audit,"{""base_denominator_m"": 2400.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0010416666666666667, ""terminal_reciprocal_raw"": 2.5, ""terminal_regime"": ""upper_boundary"", ""terminal_weight"": 2.5}",-0.5986286467595553,-1.6442147538828071,-0.0020823855405475294,clamp_audit,86.06579191932086,35.0,427.36514067420364,2.382494010955328,1.7498007743559425,15.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P1,2.4,0.11665338495706283,"{""upper_clamped"": 29}",29
beam,-15.0,39.64091647067024,clamp_audit,capture_clamp_2p4km_m15deg,0.034482758620689655,True,audit,"{""base_denominator_m"": 2400.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0004166666666666667, ""terminal_reciprocal_raw"": 2.5, ""terminal_regime"": ""unity"", ""terminal_weight"": 1.0}",-0.4405274513634821,-1.2087362525121912,-0.0011681466013930887,clamp_audit,60.67196030838582,35.0,195.52848611579185,2.3870526681846673,1.286510446171655,15.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P4,2.4,0.08576736307811034,"{""unity"": 29}",29
beam,-15.0,74.12319030927021,clamp_audit,capture_clamp_2p4km_m15deg,0.06896551724137931,True,audit,"{""base_denominator_m"": 2400.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0010416666666666667, ""terminal_reciprocal_raw"": 2.5, ""terminal_regime"": ""reciprocal_unclamped"", ""terminal_weight"": 2.5}",-0.81034112407307,-2.1671265296146376,-0.003084782737649784,clamp_audit,3692.6479689891426,35.0,4094.3073687587726,2.3849443474252774,2.313676651697054,15.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 2, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P7,2.4,0.15424511011313694,"{""reciprocal_unclamped"": 29}",29
beam,15.0,76.6318759955191,clamp_audit,capture_clamp_2p4km_p15deg,0.034482758620689655,True,audit,"{""base_denominator_m"": 2400.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0010416666666666667, ""terminal_reciprocal_raw"": 2.5, ""terminal_regime"": ""upper_boundary"", ""terminal_weight"": 2.5}",-0.5971983141428826,1.6447863956454785,0.010024497295769264,clamp_audit,86.06579191946976,35.0,427.36514067436013,2.382494029912517,1.749876739733807,15.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P1,2.4,0.11665844931558714,"{""upper_clamped"": 29}",29
beam,15.0,39.64091647074518,clamp_audit,capture_clamp_2p4km_p15deg,0.034482758620689655,True,audit,"{""base_denominator_m"": 2400.0, ""lead_blend"": 0.55, ""range_structure_multiplier_per_m"": 0.0004166666666666667, ""terminal_reciprocal_raw"": 2.5, ""terminal_regime"": ""unity"", ""terminal_weight"": 1.0}",-0.43948279921049543,1.2091730633050988,0.0077322588889533975,clamp_audit,60.6719603083957,35.0,195.52848611560273,2.38705268684023,1.2865863420898174,15.0,"{""apn_mode"": 1, ""capture_base_range_mode"": 0, ""capture_lead_blend_mode"": 0, ""capture_mode"": 1, ""capture_terminal_weight_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",P4,2.4,0.08577242280598782,"{""unity"": 29}",29
