absolute_effect_m,after_nearest_distance_m,after_profile,before_nearest_distance_m,before_profile,case_group,clamp_fraction_delta,effect_id,miss_distance_delta_m,offset_deg,range_km
6.9942071541855215,6.995572511153204,P1,0.0013653569676831939,P0,N30,0.13953488372093023,capture_total,6.9942071541855215,30.0,4.0
26.12786152048546,6.995572511153204,P1,33.123434031638666,P2,N30,-0.06501057082452433,lead_content,-26.12786152048546,30.0,4.0
0.0,6.995572511153204,P1,6.995572511153204,P3,N30,0.0,lead_range_schedule,0.0,30.0,4.0
2.127178431747881,6.995572511153204,P1,4.8683940794053235,P4,N30,0.0,terminal_weighting,2.127178431747881,30.0,4.0
6.8429447979774745,6.995572511153204,P1,0.15262771317572985,P5,N30,0.046511627906976744,base_inverse_range,6.8429447979774745,30.0,4.0
0.1509474077855749,0.15262771317572985,P5,0.0016803053901549548,P6,N30,0.09302325581395349,terminal_given_base_flat,0.1509474077855749,30.0,4.0
4.866713774015168,4.8683940794053235,P4,0.0016803053901549548,P6,N30,0.13953488372093023,base_inverse_given_terminal_flat,4.866713774015168,30.0,4.0
2.041597414691376,6.995572511153204,P1,9.03716992584458,P7,N30,-0.023255813953488386,terminal_clamp,-2.041597414691376,30.0,4.0
0.0,4.8683940794053235,P4,4.8683940794053235,P8,N30,0.0,lead_range_schedule_terminal_flat,0.0,30.0,4.0
15.023730814995165,15.025112144770933,P1,0.001381329775767179,P0,M45,0.10879629629629634,capture_total,15.023730814995165,45.0,4.0
47.86114321887217,15.025112144770933,P1,62.8862553636431,P2,M45,0.009778911564625847,lead_content,-47.86114321887217,45.0,4.0
0.0,15.025112144770933,P1,15.025112144770933,P3,M45,0.0,lead_range_schedule,0.0,45.0,4.0
4.351093098844489,15.025112144770933,P1,10.674019045926444,P4,M45,0.0625,terminal_weighting,4.351093098844489,45.0,4.0
13.720812602871701,15.025112144770933,P1,1.3042995418992318,P5,M45,0.08333333333333337,base_inverse_range,13.720812602871701,45.0,4.0
1.269881494045833,1.3042995418992318,P5,0.03441804785339897,P6,M45,0.06930272108843538,terminal_given_base_flat,1.269881494045833,45.0,4.0
10.639600998073046,10.674019045926444,P4,0.03441804785339897,P6,M45,0.09013605442176875,base_inverse_given_terminal_flat,10.639600998073046,45.0,4.0
3.7791598651368368,15.025112144770933,P1,18.80427200990777,P7,M45,0.0,terminal_clamp,-3.7791598651368368,45.0,4.0
0.0,10.674019045926444,P4,10.674019045926444,P8,M45,0.0,lead_range_schedule_terminal_flat,0.0,45.0,4.0
7.18237148830797,7.183749800051837,P1,0.0013783117438666893,P0,N30,0.06666666666666667,capture_total,7.18237148830797,30.0,6.0
28.892579264206226,7.183749800051837,P1,36.07632906425806,P2,N30,-0.03169398907103825,lead_content,-28.892579264206226,30.0,6.0
0.0,7.183749800051837,P1,7.183749800051837,P3,N30,0.0,lead_range_schedule,0.0,30.0,6.0
2.335190006556507,7.183749800051837,P1,4.84855979349533,P4,N30,0.0327683615819209,terminal_weighting,2.335190006556507,30.0,6.0
7.1010702090419695,7.183749800051837,P1,0.08267959100986777,P5,N30,0.04971751412429379,base_inverse_range,7.1010702090419695,30.0,6.0
0.08119433377705482,0.08267959100986777,P5,0.001485257232812957,P6,N30,0.01694915254237288,terminal_given_base_flat,0.08119433377705482,30.0,6.0
4.847074536262517,4.84855979349533,P4,0.001485257232812957,P6,N30,0.03389830508474576,base_inverse_given_terminal_flat,4.847074536262517,30.0,6.0
2.2191677039687487,7.183749800051837,P1,9.402917504020586,P7,N30,0.0,terminal_clamp,-2.2191677039687487,30.0,6.0
0.0,4.84855979349533,P4,4.84855979349533,P8,N30,0.0,lead_range_schedule_terminal_flat,0.0,30.0,6.0
14.425623472384256,14.427033228325788,P1,0.0014097559415317579,P0,M45,0.13692480359147025,capture_total,14.425623472384256,45.0,6.0
50.259124231271706,14.427033228325788,P1,64.6861574595975,P2,M45,-0.006684491978609652,lead_content,-50.259124231271706,45.0,6.0
0.0,14.427033228325788,P1,14.427033228325788,P3,M45,0.0,lead_range_schedule,0.0,45.0,6.0
4.392913611032755,14.427033228325788,P1,10.034119617293033,P4,M45,0.030303030303030276,terminal_weighting,4.392913611032755,45.0,6.0
13.783675855805857,14.427033228325788,P1,0.6433573725199313,P5,M45,0.06060606060606058,base_inverse_range,13.783675855805857,45.0,6.0
0.6363274321937686,0.6433573725199313,P5,0.007029940326162698,P6,M45,0.030303030303030304,terminal_given_base_flat,0.6363274321937686,45.0,6.0
10.02708967696687,10.034119617293033,P4,0.007029940326162698,P6,M45,0.06060606060606061,base_inverse_given_terminal_flat,10.02708967696687,45.0,6.0
3.934469338554324,14.427033228325788,P1,18.361502566880112,P7,M45,0.0,terminal_clamp,-3.934469338554324,45.0,6.0
0.0,10.034119617293033,P4,10.034119617293033,P8,M45,0.0,lead_range_schedule_terminal_flat,0.0,45.0,6.0
7.482738900651633,7.484112156614133,P1,0.0013732559624999381,P0,N30,0.03896103896103896,capture_total,7.482738900651633,30.0,8.0
31.39227773164872,7.484112156614133,P1,38.87638988826285,P2,N30,-0.03698832812756864,lead_content,-31.39227773164872,30.0,8.0
0.0,7.484112156614133,P1,7.484112156614133,P3,N30,0.0,lead_range_schedule,0.0,30.0,8.0
2.584105066064579,7.484112156614133,P1,4.900007090549554,P4,N30,0.0,terminal_weighting,2.584105066064579,30.0,8.0
7.43871210358252,7.484112156614133,P1,0.04540005303161282,P5,N30,0.025974025974025972,base_inverse_range,7.43871210358252,30.0,8.0
0.044037888930242144,0.04540005303161282,P5,0.0013621641013706728,P6,N30,0.012987012987012988,terminal_given_base_flat,0.044037888930242144,30.0,8.0
4.898644926448183,4.900007090549554,P4,0.0013621641013706728,P6,N30,0.03896103896103896,base_inverse_given_terminal_flat,4.898644926448183,30.0,8.0
2.397385016064929,7.484112156614133,P1,9.881497172679062,P7,N30,-0.012987012987012991,terminal_clamp,-2.397385016064929,30.0,8.0
0.0,4.900007090549554,P4,4.900007090549554,P8,N30,0.0,lead_range_schedule_terminal_flat,0.0,30.0,8.0
14.54348478170016,14.544869634667096,P1,0.0013848529669367783,P0,M45,0.13333333333333333,capture_total,14.54348478170016,45.0,8.0
54.25116956751032,14.544869634667096,P1,68.79603920217741,P2,M45,-0.029710144927536236,lead_content,-54.25116956751032,45.0,8.0
0.0,14.544869634667096,P1,14.544869634667096,P3,M45,0.0,lead_range_schedule,0.0,45.0,8.0
4.7264537051832,14.544869634667096,P1,9.818415929483896,P4,M45,-0.004597701149425287,terminal_weighting,4.7264537051832,45.0,8.0
14.229676620981135,14.544869634667096,P1,0.315193013685961,P5,M45,0.029885057471264367,base_inverse_range,14.229676620981135,45.0,8.0
0.313719004263489,0.315193013685961,P5,0.0014740094224720045,P6,M45,0.009330628803245436,terminal_given_base_flat,0.313719004263489,45.0,8.0
9.816941920061424,9.818415929483896,P4,0.0014740094224720045,P6,M45,0.04381338742393509,base_inverse_given_terminal_flat,9.816941920061424,45.0,8.0
4.262133499562049,14.544869634667096,P1,18.807003134229145,P7,M45,0.0,terminal_clamp,-4.262133499562049,45.0,8.0
0.0,9.818415929483896,P4,9.818415929483896,P8,M45,0.0,lead_range_schedule_terminal_flat,0.0,45.0,8.0
117.06929997999411,117.71683300492938,P1,0.6475330249352726,P0,stress60,0.11544998549102516,capture_total,117.06929997999411,60.0,8.0
199.38636826500854,117.71683300492938,P1,317.1032012699379,P2,stress60,0.03819247494800529,lead_content,-199.38636826500854,60.0,8.0
0.0,117.71683300492938,P1,117.71683300492938,P3,stress60,0.0,lead_range_schedule,0.0,60.0,8.0
76.89104120308376,117.71683300492938,P1,40.825791801845625,P4,stress60,-0.0246124031007752,terminal_weighting,76.89104120308376,60.0,8.0
117.60187280784093,117.71683300492938,P1,0.11496019708845506,P5,stress60,0.01705426356589146,base_inverse_range,117.60187280784093,60.0,8.0
