aspect_bucket,bearing_deg,case_group,case_id,clamp_fraction,entered_R_fuze,launch_class,local_forward_m,local_right_m,local_up_m,max_abs_heading_velocity_error_deg,max_apn_g,max_capture_g,max_component_sum_error_mps2,max_los_rate_rad_s,max_pn_g,max_postclamp_g,max_preclamp_g,nearest_approach_time_s,nearest_distance_m,offset_deg,pn_source_counts,profile,range_km,rho_fuze,target_kinematics_source_counts,trace_sample_count,variant_id
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.25,True,N,-5.85852819455581,-7.42885911245238,-0.00043942538721924106,47.00994204648579,6.124999999999999,2041.7732795951342,3.637978807091713e-12,5.6984540476200385,2461.125479080874,35.0,4502.898758676009,3.5730865395543807,9.460988347533615,30.0,"{""1"": 44}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",4.0,0.630732556502241,"{""0"": 1, ""1"": 43}",44,legacy_full_track_quadratic
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.022727272727272728,True,N,-0.24810291487403846,-0.31789872895298393,0.0012736442203744474,45.262602237707284,4.9810651585373655,0.0,5.728578676879116e-14,0.08180658884151755,43.82713148651328,35.0,44.599851329148734,3.6210360743464483,0.40325708971878776,30.0,"{""1"": 44}","{""apn_mode"": 1, ""capture_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",4.0,0.026883805981252517,"{""1"": 44}",44,legacy_no_capture
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.20454545454545456,False,N,-9.78685354911103,-11.602479692172594,0.001327414187447487,49.042219983318205,6.124999999999999,1481.7654335419063,4.976336155918127e-13,0.0,0.0,35.0,1487.8904335419063,3.6155050177831267,15.178934058788588,30.0,"{""0"": 44}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 1}",4.0,1.0119289372525726,"{""1"": 44}",44,legacy_no_pn
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.20930232558139536,True,N,-5.994665491884499,-7.5666008034785,-0.0003528780152629342,45.91754193231745,0.0,327.90109358377543,6.431098710768743e-13,0.7200027465863195,343.5817875851966,35.0,671.482881168972,3.5538102774408067,9.653468920720343,30.0,"{""1"": 43}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 0}",4.0,0.6435645947146895,"{""1"": 43}",43,legacy_no_apn
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.25,False,N,-32.69903488159885,-37.05012287809895,0.00756261101097342,51.949125889356196,6.124999999999999,3072.13286845377,1.7826694532259034e-12,2.8745758159022006,980.1002491373716,35.0,4052.2331175911418,3.5898426713764664,49.415974589836246,30.0,"{""1"": 44}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 0, ""pn_mode"": 0}",4.0,3.294398305989083,"{""0"": 1, ""1"": 43}",44,legacy_no_lead
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.09302325581395349,True,N,-6.776627808185845,-8.425305188123849,-0.00010412186782783888,46.78887550963608,0.0,791.4900528820683,9.094947017729282e-13,1.3748972335704406,632.0135039130522,35.0,1423.5035567951204,3.5336380593401504,10.812421189286846,30.0,"{""1"": 43}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 1, ""pn_mode"": 0}",4.0,0.7208280792857897,"{""1"": 43}",43,legacy_track_velocity_no_apn
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.022727272727272728,True,N,-0.24810291487403846,-0.31789872895298393,0.0012736442203744474,45.262602237707284,4.9810651585373655,0.0,5.728578676879116e-14,0.08180658884151755,43.82713148651328,35.0,44.599851329148734,3.6210360743464483,0.40325708971878776,30.0,"{""1"": 44}","{""apn_mode"": 1, ""capture_mode"": 0, ""kinematics_source"": 0, ""lead_mode"": 0, ""pn_mode"": 0}",4.0,0.026883805981252517,"{""1"": 44}",44,legacy_no_capture_no_lead
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.25,True,N,-5.119765803336236,-6.545177955216301,-0.0004078227472456891,46.619717512569814,6.124999999999999,406.3761083818853,3.37563890304287e-13,3.0920503868476787,2033.4896435697344,35.0,2439.8657519516196,3.5790478751946373,8.309714586721856,30.0,"{""2"": 44}","{""apn_mode"": 1, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",4.0,0.5539809724481237,"{""0"": 1, ""1"": 43}",44,history_full_track_quadratic
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.23255813953488372,True,N,-5.223118406812998,-6.646535223001217,-0.00033029148025447846,45.55530106674548,0.0,176.26468468083948,1.1368683772161603e-13,0.5797140900318264,399.9432956480252,35.0,576.2079803288647,3.5583543290159003,8.45324768779894,30.0,"{""2"": 43}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 2, ""pn_mode"": 2}",4.0,0.5635498458532627,"{""1"": 43}",43,history_track_quadratic_no_apn
beam,-30.0,N30,guidance_exact_cv_4km_m30deg,0.13953488372093023,True,N,-5.856214052290048,-7.342538165672103,-0.0001317514832310095,46.43870986076687,0.0,599.9293137669545,2.033691978340166e-12,1.1978105114447237,807.4540756508419,35.0,1407.3833894177963,3.5337697566756328,9.39191725676677,30.0,"{""2"": 43}","{""apn_mode"": 0, ""capture_mode"": 1, ""kinematics_source"": 0, ""lead_mode"": 1, ""pn_mode"": 2}",4.0,0.6261278171177848,"{""1"": 43}",43,history_track_velocity_no_apn
