case_id,seed,target_motion_layer,target_motion_profile_id,maneuver_severity,target_acceleration_x_mps2,range_km,bearing_deg,launch_class,nearest_distance_m,entered_R_fuze,fuze_triggered,detonated,fuze_reason,fuze_terminal_track_valid,fuze_target_detected,fuze_sensor_opportunity_score,fuze_quality,seeker_fov_half_angle_deg,max_abs_filtered_bearing_deg,max_seeker_fov_excess_deg,max_abs_detection_bearing_deg,max_detection_fov_excess_deg,first_detection_outside_fov_time_s,first_memory_time_s,first_ballistic_time_s,track_memory_timeout_s,observed_memory_to_ballistic_s,last_runtime_seeker_mode,last_runtime_seeker_mode_name,terminal_track_residual_cause,effect_family,component_load_row_count,component_response_row_count,consequence_present,consequence_zero_when_untriggered,outcome_state,chain_state,stage_ids_exact,stage_owners_clean,approach_and_fuze_observed,response_owner_clean,no_guidance_override,resolved_runtime_mismatch,authority_guarded,structural_consistent,structural_violations,nominal_guidance_residual,legacy_negative_control_alert,in_radius_fuze_blocked
kces_anchor_grid_cv_10km_p90deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,10.0,90.0,O,10000.040518998048,False,False,False,missile_max_flight_time_exceeded,False,False,0.0,0.0,90.0,90.0,0.0,167.11427498281057,77.11427498281057,0.0,0.016666666666666666,0.75,0.75,0.7333333333333333,2,ballistic,,blast_fragmentation,0,0,True,True,missile_timeout,outside_no_load,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_12km_m15deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,-15.0,M,0.0013705427274449233,True,True,True,fuze_armed,True,True,1.0,0.9999314728636277,90.0,161.014634508794,71.01463450879399,161.01639719202768,71.01639719202768,9.166666666666666,9.183333333333334,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_12km_m30deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,-30.0,M,0.001380850645794409,True,True,True,fuze_armed,True,True,1.0,0.9999309574677103,90.0,141.18673381760746,51.18673381760746,141.18996775665272,51.18996775665272,11.166666666666666,11.183333333333334,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_12km_m45deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,-45.0,O,0.0013841337507012703,True,True,True,fuze_armed,True,True,1.0,0.9999307933124649,90.0,119.38132581345026,29.38132581345026,119.39076212483991,29.39076212483991,14.833333333333334,14.85,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,True,False
kces_anchor_grid_cv_12km_m60deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,-60.0,O,0.0013925410669541598,True,True,True,fuze_armed,True,True,1.0,0.9999303729466523,90.0,92.20506808402092,2.2050680840209225,92.21854060466288,2.218540604662877,22.666666666666668,22.683333333333334,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,True,False
kces_anchor_grid_cv_12km_m75deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,-75.0,O,9679.150533334392,False,False,False,miss_outside_trigger_radius,False,False,0.0,0.0,90.0,94.24585144361276,4.245851443612764,118.60525832479446,28.605258324794463,2.966666666666667,2.9833333333333334,3.716666666666667,0.75,0.7333333333333334,2,ballistic,,,0,0,False,True,,outside_no_load,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_12km_m90deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,-90.0,O,12000.033661218218,False,False,False,missile_max_flight_time_exceeded,False,False,0.0,0.0,90.0,90.0,0.0,164.6492110433291,74.6492110433291,0.0,0.016666666666666666,0.75,0.75,0.7333333333333333,2,ballistic,,blast_fragmentation,0,0,True,True,missile_timeout,outside_no_load,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_12km_p0deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,0.0,N,0.0013622122686153253,True,True,True,fuze_armed,True,True,1.0,0.9999318893865692,90.0,179.99999999999994,89.99999999999994,180.0,90.0,8.733333333333333,8.75,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_12km_p15deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,15.0,M,0.0013665419301073169,True,True,True,fuze_armed,True,True,1.0,0.9999316729034946,90.0,161.014634508794,71.01463450879399,161.01639719202768,71.01639719202768,9.166666666666666,9.183333333333334,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
kces_anchor_grid_cv_12km_p30deg,20260621,nonmaneuvering_constant_velocity,constant_velocity_v0,none,0.0,12.0,30.0,M,0.001375627849376836,True,True,True,fuze_armed,True,True,1.0,0.9999312186075312,90.0,141.18673381760746,51.18673381760746,141.18996775665272,51.18996775665272,11.166666666666666,11.183333333333334,,0.75,,1,memory,,blast_fragmentation,6,6,True,True,damage_applied,complete_effect_chain,True,True,True,True,True,{},True,True,[],False,False,False
