case_id,range_km,bearing_deg,target_accel_x_mps2,apn_gain,seed,maneuver_onset_time_s,nearest_distance_m,entered_R_fuze,nearest_approach_time_s,estimator_first_valid_time_s,estimator_convergence_time_s,time_to_go_at_estimator_valid_s,time_to_go_at_estimator_convergence_s,apn_first_nonzero_time_s,time_to_go_at_first_apn_s,trace_sample_count,trace_dt_s,max_pn_acceleration_mps2,rms_pn_acceleration_mps2,pn_impulse_mps,max_apn_acceleration_mps2,rms_apn_acceleration_mps2,apn_impulse_mps,apn_to_pn_impulse_ratio,max_component_sum_error_mps2,resolved_runtime_mismatch,nearest_distance_delta_vs_apn0_m
p10_null_r7_bm60_am8_g0_s20260621,7.0,-60.0,-8.0,0.0,20260621,0.0,0.0014312851536868025,True,13.813150905848333,3.0166666666666666,3.1166666666666667,10.796484239181666,10.696484239181666,,,828,0.016666666666666607,427.98332148303706,176.25589249174809,1557.0609225901164,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r7_bm60_am8_g0_s20260622,7.0,-60.0,-8.0,0.0,20260622,0.0,0.0014312851536868025,True,13.813150905848333,3.0166666666666666,3.1166666666666667,10.796484239181666,10.696484239181666,,,828,0.016666666666666607,427.98332148303706,176.25589249174809,1557.0609225901164,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r7_bm60_am8_g0_s20260623,7.0,-60.0,-8.0,0.0,20260623,0.0,0.0014312851536868025,True,13.813150905848333,3.0166666666666666,3.1166666666666667,10.796484239181666,10.696484239181666,,,828,0.016666666666666607,427.98332148303706,176.25589249174809,1557.0609225901164,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r7_bm60_am8_g0p125_s20260621,7.0,-60.0,-8.0,0.125,20260621,0.0,0.0014130734061718769,True,13.815265649766458,3.0166666666666666,3.1166666666666667,10.79859898309979,10.69859898309979,3.0166666666666666,10.79859898309979,828,0.016666666666666607,427.98332148303706,176.23410278959165,1556.2384758180565,0.20822866440856483,0.07375256366388713,0.6927875091161222,0.0004451679610041447,2.8012392896472268e-14,{},-1.8211747514925575e-05
p10_null_r7_bm60_am8_g0p125_s20260622,7.0,-60.0,-8.0,0.125,20260622,0.0,0.0014130734061718769,True,13.815265649766458,3.0166666666666666,3.1166666666666667,10.79859898309979,10.69859898309979,3.0166666666666666,10.79859898309979,828,0.016666666666666607,427.98332148303706,176.23410278959165,1556.2384758180565,0.20822866440856483,0.07375256366388713,0.6927875091161222,0.0004451679610041447,2.8012392896472268e-14,{},-1.8211747514925575e-05
p10_null_r7_bm60_am8_g0p125_s20260623,7.0,-60.0,-8.0,0.125,20260623,0.0,0.0014130734061718769,True,13.815265649766458,3.0166666666666666,3.1166666666666667,10.79859898309979,10.69859898309979,3.0166666666666666,10.79859898309979,828,0.016666666666666607,427.98332148303706,176.23410278959165,1556.2384758180565,0.20822866440856483,0.07375256366388713,0.6927875091161222,0.0004451679610041447,2.8012392896472268e-14,{},-1.8211747514925575e-05
p10_null_r7_bm60_am8_g0p25_s20260621,7.0,-60.0,-8.0,0.25,20260621,0.0,0.0014068085431173047,True,13.817385002543165,3.0166666666666666,3.1166666666666667,10.8007183358765,10.700718335876498,3.0166666666666666,10.8007183358765,829,0.016666666666666607,427.98332148303706,176.10652325288302,1555.6169382856754,0.41645732881712966,0.14752589317044512,1.3890782989730202,0.0008929436706338615,3.675162082164527e-14,{},-2.4476610569497794e-05
p10_null_r7_bm60_am8_g0p25_s20260622,7.0,-60.0,-8.0,0.25,20260622,0.0,0.0014068085431173047,True,13.817385002543165,3.0166666666666666,3.1166666666666667,10.8007183358765,10.700718335876498,3.0166666666666666,10.8007183358765,829,0.016666666666666607,427.98332148303706,176.10652325288302,1555.6169382856754,0.41645732881712966,0.14752589317044512,1.3890782989730202,0.0008929436706338615,3.675162082164527e-14,{},-2.4476610569497794e-05
p10_null_r7_bm60_am8_g0p25_s20260623,7.0,-60.0,-8.0,0.25,20260623,0.0,0.0014068085431173047,True,13.817385002543165,3.0166666666666666,3.1166666666666667,10.8007183358765,10.700718335876498,3.0166666666666666,10.8007183358765,829,0.016666666666666607,427.98332148303706,176.10652325288302,1555.6169382856754,0.41645732881712966,0.14752589317044512,1.3890782989730202,0.0008929436706338615,3.675162082164527e-14,{},-2.4476610569497794e-05
p10_null_r7_bm60_am8_g0p5_s20260621,7.0,-60.0,-8.0,0.5,20260621,0.0,0.001441720760856285,True,13.821638398291539,3.0166666666666666,3.1166666666666667,10.804971731624871,10.704971731624871,3.0166666666666666,10.804971731624871,829,0.016666666666666607,427.98332148303706,176.0629873691717,1553.9506821108353,0.8329146576342593,0.29549407298468156,2.791595661929756,0.0017964506171700022,3.46412712557223e-14,{},1.0435607169482488e-05
p10_null_r7_bm60_am8_g0p5_s20260622,7.0,-60.0,-8.0,0.5,20260622,0.0,0.001441720760856285,True,13.821638398291539,3.0166666666666666,3.1166666666666667,10.804971731624871,10.704971731624871,3.0166666666666666,10.804971731624871,829,0.016666666666666607,427.98332148303706,176.0629873691717,1553.9506821108353,0.8329146576342593,0.29549407298468156,2.791595661929756,0.0017964506171700022,3.46412712557223e-14,{},1.0435607169482488e-05
p10_null_r7_bm60_am8_g0p5_s20260623,7.0,-60.0,-8.0,0.5,20260623,0.0,0.001441720760856285,True,13.821638398291539,3.0166666666666666,3.1166666666666667,10.804971731624871,10.704971731624871,3.0166666666666666,10.804971731624871,829,0.016666666666666607,427.98332148303706,176.0629873691717,1553.9506821108353,0.8329146576342593,0.29549407298468156,2.791595661929756,0.0017964506171700022,3.46412712557223e-14,{},1.0435607169482488e-05
p10_null_r7_bp60_ap8_g0_s20260621,7.0,60.0,8.0,0.0,20260621,0.0,0.0014028250120684987,True,13.813151268070923,3.0166666666666666,3.1166666666666667,10.796484601404256,10.696484601404256,,,828,0.016666666666666607,427.98332148303706,176.25589249174809,1557.0609225901164,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r7_bp60_ap8_g0_s20260622,7.0,60.0,8.0,0.0,20260622,0.0,0.0014028250120684987,True,13.813151268070923,3.0166666666666666,3.1166666666666667,10.796484601404256,10.696484601404256,,,828,0.016666666666666607,427.98332148303706,176.25589249174809,1557.0609225901164,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r7_bp60_ap8_g0_s20260623,7.0,60.0,8.0,0.0,20260623,0.0,0.0014028250120684987,True,13.813151268070923,3.0166666666666666,3.1166666666666667,10.796484601404256,10.696484601404256,,,828,0.016666666666666607,427.98332148303706,176.25589249174809,1557.0609225901164,0.0,0.0,0.0,0.0,0.0,{},0.0
p10_null_r7_bp60_ap8_g0p125_s20260621,7.0,60.0,8.0,0.125,20260621,0.0,0.0013889880080386516,True,13.81526601193046,3.0166666666666666,3.1166666666666667,10.798599345263792,10.698599345263792,3.0166666666666666,10.798599345263792,828,0.016666666666666607,427.98332148303706,176.23410278959165,1556.2384758180565,0.20822866440856483,0.07375256366388713,0.6927875091161222,0.0004451679610041447,2.8012392896472268e-14,{},-1.3837004029847036e-05
p10_null_r7_bp60_ap8_g0p125_s20260622,7.0,60.0,8.0,0.125,20260622,0.0,0.0013889880080386516,True,13.81526601193046,3.0166666666666666,3.1166666666666667,10.798599345263792,10.698599345263792,3.0166666666666666,10.798599345263792,828,0.016666666666666607,427.98332148303706,176.23410278959165,1556.2384758180565,0.20822866440856483,0.07375256366388713,0.6927875091161222,0.0004451679610041447,2.8012392896472268e-14,{},-1.3837004029847036e-05
p10_null_r7_bp60_ap8_g0p125_s20260623,7.0,60.0,8.0,0.125,20260623,0.0,0.0013889880080386516,True,13.81526601193046,3.0166666666666666,3.1166666666666667,10.798599345263792,10.698599345263792,3.0166666666666666,10.798599345263792,828,0.016666666666666607,427.98332148303706,176.23410278959165,1556.2384758180565,0.20822866440856483,0.07375256366388713,0.6927875091161222,0.0004451679610041447,2.8012392896472268e-14,{},-1.3837004029847036e-05
p10_null_r7_bp60_ap8_g0p25_s20260621,7.0,60.0,8.0,0.25,20260621,0.0,0.0013844336063386718,True,13.817385365215324,3.0166666666666666,3.1166666666666667,10.800718698548657,10.700718698548657,3.0166666666666666,10.800718698548657,829,0.016666666666666607,427.98332148303706,176.10652325288302,1555.6169382856754,0.41645732881712966,0.14752589317044512,1.3890782989730202,0.0008929436706338615,3.675162082164527e-14,{},-1.8391405729826886e-05
p10_null_r7_bp60_ap8_g0p25_s20260622,7.0,60.0,8.0,0.25,20260622,0.0,0.0013844336063386718,True,13.817385365215324,3.0166666666666666,3.1166666666666667,10.800718698548657,10.700718698548657,3.0166666666666666,10.800718698548657,829,0.016666666666666607,427.98332148303706,176.10652325288302,1555.6169382856754,0.41645732881712966,0.14752589317044512,1.3890782989730202,0.0008929436706338615,3.675162082164527e-14,{},-1.8391405729826886e-05
p10_null_r7_bp60_ap8_g0p25_s20260623,7.0,60.0,8.0,0.25,20260623,0.0,0.0013844336063386718,True,13.817385365215324,3.0166666666666666,3.1166666666666667,10.800718698548657,10.700718698548657,3.0166666666666666,10.800718698548657,829,0.016666666666666607,427.98332148303706,176.10652325288302,1555.6169382856754,0.41645732881712966,0.14752589317044512,1.3890782989730202,0.0008929436706338615,3.675162082164527e-14,{},-1.8391405729826886e-05
p10_null_r7_bp60_ap8_g0p5_s20260621,7.0,60.0,8.0,0.5,20260621,0.0,0.0014110017969398766,True,13.821638760837821,3.0166666666666666,3.1166666666666667,10.804972094171156,10.704972094171154,3.0166666666666666,10.804972094171156,829,0.016666666666666607,427.98332148303706,176.0629873691717,1553.9506821108353,0.8329146576342593,0.29549407298468156,2.791595661929756,0.0017964506171700022,3.46412712557223e-14,{},8.17678487137789e-06
