range_km,apn_gain,sample_count,mean_baseline_nearest_distance_m,mean_nearest_distance_m,mean_nearest_distance_delta_vs_apn0_m,max_abs_nearest_distance_delta_vs_apn0_m,null_response,mean_nearest_approach_time_s,mean_estimator_convergence_time_s,mean_time_to_go_at_estimator_convergence_s,mean_max_pn_acceleration_mps2,mean_max_apn_acceleration_mps2,mean_pn_impulse_mps,mean_apn_impulse_mps,mean_apn_to_pn_impulse_ratio,nearest_distance_spread_across_mirrors_and_seeds_m
7.0,0.0,6,0.0014170550828776505,0.0014170550828776505,0.0,0.0,False,13.813151086959628,3.1166666666666667,10.696484420292961,427.98332148303706,0.0,1557.0609225901164,0.0,0.0,2.846014161830379e-05
7.0,0.125,6,0.0014170550828776505,0.0014010307071052643,-1.6024375772386306e-05,1.8211747514925575e-05,True,13.815265830848459,3.1166666666666667,10.698599164181791,427.98332148303706,0.20822866440856483,1556.2384758180567,0.6927875091161222,0.0004451679610041447,2.408539813322525e-05
7.0,0.25,6,0.0014170550828776505,0.0013956210747279882,-2.143400814966234e-05,2.4476610569497794e-05,True,13.817385183879246,3.1166666666666667,10.700718517212579,427.98332148303706,0.41645732881712966,1555.6169382856754,1.3890782989730202,0.0008929436706338615,2.2374936778632882e-05
7.0,0.5,6,0.0014170550828776505,0.0014263612788980808,9.306196020430189e-06,1.0435607169482488e-05,True,13.821638579564679,3.1166666666666667,10.704971912898012,427.98332148303706,0.8329146576342593,1553.9506821108353,2.791595661929756,0.0017964506171700022,3.071896391640839e-05
7.5,0.0,6,0.0014331928003070685,0.0014331928003070685,0.0,0.0,False,15.171700519763036,3.1166666666666667,12.055033853096369,406.4687819746816,0.0,1534.9304621687286,0.0,0.0,3.5674828314150205e-05
7.5,0.125,6,0.0014331928003070685,0.0014420314614779154,8.838661170846966e-06,9.858744094219793e-06,True,15.174596117706955,3.1166666666666667,12.057929451040287,406.4687819746816,0.2228266309175254,1533.8835821401487,0.8704152482070097,0.00056745848142697,3.771499416089586e-05
7.5,0.25,6,0.0014331928003070685,0.0014371150062983734,3.922205991305021e-06,4.403428422124645e-06,True,15.177497265903009,3.1166666666666667,12.060830599236342,406.4687819746816,0.4456539276527279,1532.8306285908575,1.7456462044739478,0.0011388382851396526,3.663727317578945e-05
7.5,0.5,6,0.0014331928003070685,0.001394586649348957,-3.860615095811163e-05,4.422600626280437e-05,True,15.183316245957066,3.1166666666666667,12.066649579290399,406.4687819746816,0.8913105186334342,1530.7063827310005,3.510653097435187,0.0022934856331961436,2.4435117704764723e-05
8.0,0.0,6,0.0014018038211847672,0.0014018038211847672,0.0,0.0,False,16.683623047294628,3.1166666666666667,13.566956380627962,388.3053337178473,0.0,1522.3179315365694,0.0,0.0,2.9734628797151077e-05
8.0,0.125,6,0.0014018038211847672,0.0014344287777870517,3.262495660228434e-05,3.766612501180798e-05,True,16.68746429051644,3.1166666666666667,13.570797623849776,388.3053337178473,0.2349706890441804,1521.072631400156,1.0353066001774038,0.0006806424484966232,3.9816965616198356e-05
8.0,0.25,6,0.0014018038211847672,0.001449030063395038,4.722624221027054e-05,5.4076366941500096e-05,True,16.691313452106623,3.1166666666666667,13.574646785439958,388.3053337178473,0.46994350721176864,1519.8190284037853,2.077231777269575,0.00136676258057594,4.3434878259610184e-05
8.0,0.5,6,0.0014018038211847672,0.0014085339736146587,6.730152429891448e-06,7.982572669981659e-06,True,16.699035579430838,3.1166666666666667,13.582368912764172,388.3053337178473,0.9398955311179474,1517.286704483506,4.181094811982731,0.002755639260284695,3.22394692773315e-05
8.5,0.0,6,0.0014080846342105881,0.0014080846342105881,0.0,0.0,False,18.399538640277957,3.1166666666666667,15.282871973611291,372.8940374945698,0.0,1517.2114397790804,0.0,0.0,3.485646270665684e-05
8.5,0.125,6,0.0014080846342105881,0.0014417735116868818,3.3688877476293917e-05,3.89962493736191e-05,True,18.40458879848114,3.1166666666666667,15.287922131814474,372.8940374945698,0.24513054822292632,1515.9934884353922,1.1836489942168225,0.0007807744579684366,4.547120650130721e-05
8.5,0.25,6,0.0014080846342105881,0.001452010662431157,4.3926028220569015e-05,5.0575568080158404e-05,True,18.409650566704318,3.1166666666666667,15.29298390003765,372.8940374945698,0.4902639440527498,1514.5718645599234,2.3758985928551946,0.0015686932052877795,4.8155542425835614e-05
8.5,0.5,6,0.0014080846342105881,0.0014329666563665411,2.488202215595323e-05,2.901509574865452e-05,True,18.419812009676495,3.1166666666666667,15.303145343009826,372.8940374945698,0.9805392788764449,1511.8901026319093,4.78678495783867,0.0031660931899122825,4.312260989205942e-05
9.0,0.0,6,2.5134250963264275,2.5134250963264275,0.0,0.0,False,20.391890933937365,3.1166666666666667,17.275224267270698,359.8888509120257,0.0,1511.4991625302284,0.0,0.0,0.00015246960877934868
9.0,0.125,6,2.5134250963264275,2.146479629884302,-0.36694546644212545,0.366945615702015,False,20.400171224412244,3.1166666666666667,17.283504557745577,359.8888509120257,0.2534839221028424,1510.6458768757109,1.3132215824579898,0.0008693113340195717,0.00015217108900023035
9.0,0.25,6,2.5134250963264275,1.808208735060443,-0.7052163612659846,0.7052166988677819,False,20.408364299025234,3.1166666666666667,17.291697632358566,359.8888509120257,0.5069711112527274,1509.7820319695875,2.63642071050879,0.0017462260476563262,0.00015179440518453546
9.0,0.5,6,2.5134250963264275,1.2169027704596855,-1.296522325866742,1.2965230073171008,False,20.424447794272577,3.1166666666666667,17.30778112760591,359.8888509120257,1.0139552912014322,1508.0223718462448,5.313476089899472,0.0035234729862755805,0.00015110670806173232
