after_nearest_distance_m,after_variant,before_nearest_distance_m,before_variant,case_group,effect_id,miss_distance_delta_m,offset_deg,range_km
24.801857638098827,history_track_velocity_no_apn,59.36587885578642,legacy_track_velocity_no_apn,O_near,replace_legacy_pn_with_world_history_velocity,-34.564021217687596,45.0,12.0
27.819376639918445,analytic_track_velocity_no_apn,24.801857638098827,history_track_velocity_no_apn,O_near,replace_world_history_with_track_analytic_pn,3.0175190018196183,45.0,12.0
23.665814307670466,history_track_quadratic_no_apn,24.801857638098827,history_track_velocity_no_apn,O_near,add_acceleration_lead_world_history,-1.136043330428361,45.0,12.0
25.206999272046396,analytic_track_quadratic_no_apn,27.819376639918445,analytic_track_velocity_no_apn,O_near,add_acceleration_lead_track_analytic,-2.6123773678720497,45.0,12.0
32.632865756360786,legacy_truth_velocity_no_apn,59.36587885578642,legacy_track_velocity_no_apn,O_near,replace_track_with_truth_cv_for_legacy_capture_lead,-26.733013099425634,45.0,12.0
16.52844502467468,analytic_truth_velocity_no_apn,27.819376639918445,analytic_track_velocity_no_apn,O_near,replace_track_with_truth_cv_for_analytic_chain,-11.290931615243764,45.0,12.0
16.52844502467468,analytic_truth_quadratic_no_apn,16.52844502467468,analytic_truth_velocity_no_apn,O_near,truth_cv_quadratic_invariant,0.0,45.0,12.0
16.52844502467468,analytic_truth_velocity_apn,16.52844502467468,analytic_truth_velocity_no_apn,O_near,truth_cv_apn_invariant,0.0,45.0,12.0
309.09280719459775,legacy_no_capture,309.09280719459775,legacy_no_capture_no_lead,O_near,lead_requires_capture_invariant,0.0,45.0,12.0
0.023909580732032025,legacy_no_capture,17.010268543905575,legacy_full_track_quadratic,O_far,remove_capture_from_current,-16.986358963173544,30.0,16.0
61.67800400242443,legacy_no_pn,17.010268543905575,legacy_full_track_quadratic,O_far,remove_pn_from_current,44.667735458518855,30.0,16.0
17.010268543905575,legacy_full_track_quadratic,17.54218347125436,legacy_no_apn,O_far,add_apn_to_current,-0.5319149273487866,30.0,16.0
97.46037296330275,legacy_no_lead,17.010268543905575,legacy_full_track_quadratic,O_far,remove_lead_from_current,80.45010441939718,30.0,16.0
17.54218347125436,legacy_no_apn,18.096994613418474,legacy_track_velocity_no_apn,O_far,add_acceleration_lead_legacy,-0.5548111421641124,30.0,16.0
12.030386363637877,history_full_track_quadratic,17.010268543905575,legacy_full_track_quadratic,O_far,replace_legacy_pn_with_world_history_full,-4.979882180267698,30.0,16.0
12.251099290092835,history_track_quadratic_no_apn,17.54218347125436,legacy_no_apn,O_far,replace_legacy_pn_with_world_history_no_apn,-5.291084181161526,30.0,16.0
12.836885034981574,history_track_velocity_no_apn,18.096994613418474,legacy_track_velocity_no_apn,O_far,replace_legacy_pn_with_world_history_velocity,-5.2601095784369,30.0,16.0
13.882981973397907,analytic_track_velocity_no_apn,12.836885034981574,history_track_velocity_no_apn,O_far,replace_world_history_with_track_analytic_pn,1.0460969384163334,30.0,16.0
12.251099290092835,history_track_quadratic_no_apn,12.836885034981574,history_track_velocity_no_apn,O_far,add_acceleration_lead_world_history,-0.5857857448887387,30.0,16.0
13.109694581666545,analytic_track_quadratic_no_apn,13.882981973397907,analytic_track_velocity_no_apn,O_far,add_acceleration_lead_track_analytic,-0.7732873917313619,30.0,16.0
16.79275418267087,legacy_truth_velocity_no_apn,18.096994613418474,legacy_track_velocity_no_apn,O_far,replace_track_with_truth_cv_for_legacy_capture_lead,-1.3042404307476048,30.0,16.0
9.50305477038033,analytic_truth_velocity_no_apn,13.882981973397907,analytic_track_velocity_no_apn,O_far,replace_track_with_truth_cv_for_analytic_chain,-4.379927203017576,30.0,16.0
9.50305477038033,analytic_truth_quadratic_no_apn,9.50305477038033,analytic_truth_velocity_no_apn,O_far,truth_cv_quadratic_invariant,0.0,30.0,16.0
9.50305477038033,analytic_truth_velocity_apn,9.50305477038033,analytic_truth_velocity_no_apn,O_far,truth_cv_apn_invariant,0.0,30.0,16.0
0.023909580732032025,legacy_no_capture,0.023909580732032025,legacy_no_capture_no_lead,O_far,lead_requires_capture_invariant,0.0,30.0,16.0
