aspect_bucket,bearing_deg,case_id,closest_sample_filtered_range_m,closest_sample_heading_velocity_error_deg,closest_sample_speed_mps,closure_mps,command_saturation_fraction,entered_R_fuze,launch_class,local_forward_m,local_right_m,local_up_m,max_abs_bearing_rate_deg_s,max_abs_heading_velocity_error_deg,max_achieved_g,max_apn_g,max_commanded_g,max_lead_blend,max_lead_time_s,max_track_accel_g,mechanisms,nearest_approach_time_s,nearest_distance_m,offset_deg,range_km,rho_fuze,sample_count,terminal_max_abs_bearing_rate_deg_s,terminal_mean_achieved_g,terminal_mean_commanded_g,terminal_mean_track_accel_g,terminal_sample_count,tuning_overrides,variant_id
tail,-30.0,guidance_ablation_cv_4km_m30deg,169.54964132620754,-57.53586558746875,815.3393602371915,961.7098432603706,0.15555555555555556,False,N,-57.41004237663707,-56.872886094477764,0.042367840233371395,153.124847639034,57.941671088905665,34.9999870335286,0.0,35.0,0.0,0.0,0.0,"[""capture""]",3.7360504888813204,80.81113743436971,30.0,4.0,5.3874091622913145,225,153.124847639034,33.52389344682484,33.992314062906715,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 1e-09}",capture_only
beam,-30.0,guidance_ablation_cv_4km_m30deg,176.64290588329254,-52.012238780660105,911.1198680297433,1112.6009593522983,0.1527777777777778,False,N,-33.57823499842305,-37.60444208186892,0.009356706740034144,169.51591720499908,52.37579073748817,34.99995614762303,0.0,35.0,0.0,0.0,0.0,"[""capture"", ""pn""]",3.588839471626123,50.41420452061008,30.0,4.0,3.360946968040672,216,169.51591720499908,31.699411514014425,32.55749486076926,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 4.0}",capture_pn
beam,-30.0,guidance_ablation_cv_4km_m30deg,176.61554083712545,-49.75208391287472,1003.403794282032,1243.9184814953173,0.15137614678899083,False,N,-10.073695272127567,-11.728553989776213,0.002114598950917479,221.1230339646529,50.08251003621137,34.99519769163485,2.0434838362976983e-08,35.0,0.55,2.5,25.01940941942556,"[""capture"", ""lead""]",3.616907305748845,15.460864128447382,30.0,4.0,1.0307242752298253,218,221.1230339646529,24.734988800423878,26.174109654164635,10.345591819679239,46,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 1e-09}",capture_lead
beam,-30.0,guidance_ablation_cv_4km_m30deg,190.35199171286513,-46.52806428157922,1065.7637669180642,1352.7809613465329,0.21395348837209302,True,N,-5.994665491477354,-7.566600803141936,-0.0003528780157995952,122.13491979009888,47.154220098212726,34.999894779152356,1.4616103596173949e-08,35.0,0.55,2.5,23.38412426333689,"[""capture"", ""pn"", ""lead""]",3.5538102774777065,9.653468920203697,30.0,4.0,0.6435645946802464,215,122.13491979009888,22.178787020312267,23.769482478356803,9.302820920284066,47,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 4.0}",capture_pn_lead
beam,-30.0,guidance_ablation_cv_4km_m30deg,175.08157456866036,-49.369034823649955,1002.7249592677634,1241.0641732454042,0.2119815668202765,False,N,-9.786853547694314,-11.602479690715288,0.0013274141866340267,234.20615155599984,49.369034823649955,34.99981767579306,6.124999999999999,35.0,0.55,2.5,25.69712311351342,"[""capture"", ""lead"", ""apn""]",3.6155050177672288,15.17893405676123,30.0,4.0,1.0119289371174154,217,234.20615155599984,23.88725337647075,25.428432606578912,9.820534881683027,46,"{""apn_target_accel_gain"": 0.5, ""nav_gain"": 1e-09}",capture_lead_apn
beam,-30.0,guidance_ablation_cv_4km_m30deg,193.2923187175151,-46.38329019776107,1064.766607464244,1286.483342434432,0.24537037037037038,True,N,-5.85852819455581,-7.428859112452153,-0.0004394253872184049,326.4973666778539,47.0099420464858,34.99998941345311,6.124999999999999,35.0,0.55,2.5,29.086144788399938,"[""capture"", ""pn"", ""lead"", ""apn""]",3.573086539554381,9.460988347533402,30.0,4.0,0.6307325565022268,216,326.4973666778539,22.138486322319835,23.794009730032087,9.527184586529268,47,"{""apn_target_accel_gain"": 0.5, ""nav_gain"": 4.0}",full
beam,-30.0,guidance_ablation_cv_4km_m30deg,22.697885058998512,-46.232793269919966,1066.4520421900456,1193.9778404977656,0.2523364485981308,True,N,-4.636982092607677,-5.9043945128762925,-0.00015417418893291378,563.3409399677324,46.858638318714036,34.99994217543647,4.614772903382589,35.0,0.55,2.5,28.847264807392424,"[""capture"", ""pn"", ""lead"", ""apn"", ""unfiltered_track""]",3.5337923037768584,7.507561356034236,30.0,4.0,0.5005040904022824,214,563.3409399677324,22.101492088777203,23.58518751280869,0.11466311146828104,47,"{""apn_target_accel_gain"": 0.5, ""bearing_filter_tau_s"": 0.0, ""elevation_filter_tau_s"": 0.0, ""nav_gain"": 4.0, ""range_filter_tau_s"": 0.0}",full_no_track_filter
beam,-30.0,guidance_ablation_cv_4km_m30deg,193.4355284790252,-45.92706081113722,1065.3576291619847,1291.8687563194312,0.19626168224299065,True,N,-5.491659514505482,-7.059394556598876,-0.0006793527733618022,329.6377472726653,46.5538431941014,35.0,6.124999999999999,35.0,0.55,2.5,29.452772227926037,"[""capture"", ""pn"", ""lead"", ""apn"", ""near_instant_scalar_autopilot""]",3.5393625744732704,8.94390162012749,30.0,4.0,0.5962601080084993,214,329.6377472726653,22.099990916550603,22.13784266005009,9.659040779197861,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_tau_s"": 0.001, ""max_accel_response_g_per_s"": 1000000.0, ""nav_gain"": 4.0}",full_fast_scalar_autopilot
beam,-30.0,guidance_ablation_cv_4km_m30deg,189.7282513215753,-46.958264007330506,1058.9301412715909,1339.4643888263156,0.28440366972477066,True,N,-6.139064381517257,-7.661314063109558,-7.152072080039706e-05,118.78100875811423,47.58611926657089,34.999869030400816,6.124999999999999,35.0,0.55,2.5,23.13230182381405,"[""capture"", ""pn"", ""lead"", ""apn"", ""second_order_autopilot""]",3.6047705438679714,9.817527420849359,30.0,4.0,0.6545018280566239,218,118.78100875811423,22.179263337377233,24.879302687240767,9.129747466370944,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_damping"": 1.0, ""autopilot_order"": 2, ""nav_gain"": 4.0}",full_autopilot_order2
beam,-30.0,guidance_ablation_cv_4km_m30deg,169.27990195961885,-48.75859206357358,1012.0088140989852,1241.73640804181,0.4117647058823529,True,N,-7.786950758625697,-9.376853580911616,0.000799679834446364,292.3925630120633,49.08587519659922,34.99995923955278,6.124999999999999,35.0,0.55,2.5,28.267265242718715,"[""capture"", ""pn"", ""lead"", ""apn"", ""third_order_autopilot""]",3.65962539051177,12.188600651207077,30.0,4.0,0.8125733767471385,221,292.3925630120633,22.560208754103943,29.706742854772312,9.79850510556531,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_damping"": 1.0, ""autopilot_order"": 3, ""nav_gain"": 4.0}",full_autopilot_order3
tail,30.0,guidance_ablation_cv_4km_p30deg,169.54964132620754,57.53586558746875,815.3393602371915,961.7098432603706,0.15555555555555556,False,N,-57.35967752705256,56.921890413710216,0.46124527881831495,153.124847639034,57.941671088905665,34.9999870335286,0.0,35.0,0.0,0.0,0.0,"[""capture""]",3.7360505352409192,80.81118091876345,30.0,4.0,5.387412061250897,225,153.124847639034,33.52389344682484,33.992314062906715,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 1e-09}",capture_only
beam,30.0,guidance_ablation_cv_4km_p30deg,176.64290588329254,52.012238780660105,911.1198680297435,1112.6009593522986,0.1527777777777778,False,N,-33.54494677834637,37.63311567065713,0.28630543793582414,169.51591720499908,52.37579073748815,34.99995614762303,0.0,35.0,0.0,0.0,0.0,"[""capture"", ""pn""]",3.588839511706066,50.41425215399851,30.0,4.0,3.3609501435999007,216,169.51591720499908,31.69941151401442,32.557494860769246,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 4.0}",capture_pn
beam,30.0,guidance_ablation_cv_4km_p30deg,176.61554083712258,49.75208391287446,1003.403794282043,1243.918481495315,0.15137614678899083,False,N,-10.063334501129594,11.737174965565963,0.08849181790759185,221.12303396469852,50.082510036211104,34.99519769163485,2.043483836298048e-08,35.0,0.55,2.5,25.01940941942843,"[""capture"", ""lead""]",3.6169073412389534,15.460912271136108,30.0,4.0,1.0307274847424073,218,221.12303396469852,24.734988800423118,26.17410965416387,10.345591819679168,46,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 1e-09}",capture_lead
beam,30.0,guidance_ablation_cv_4km_p30deg,190.35199171286388,46.528064281579134,1065.7637669180692,1352.7809613465363,0.21395348837209302,True,N,-5.987992584193671,7.571744505147233,0.05537133428522251,122.13491979010655,47.15422009821263,34.999894779152356,1.4616103596173949e-08,35.0,0.55,2.5,23.38412426333689,"[""capture"", ""pn"", ""lead""]",3.5538103098173344,9.653519359500189,30.0,4.0,0.6435679573000126,215,122.13491979010655,22.178787020312072,23.76948247835661,9.302820920284045,47,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 4.0}",capture_pn_lead
beam,30.0,guidance_ablation_cv_4km_p30deg,175.08157456866036,49.369034823649955,1002.7249592677634,1241.0641732454042,0.2119815668202765,False,N,-9.776604476780053,11.610856433001947,0.08677557699929578,234.20615155599984,49.369034823649955,34.99981767579306,6.124999999999999,35.0,0.55,2.5,25.69712311351342,"[""capture"", ""lead"", ""apn""]",3.6155050525160473,15.17898258131747,30.0,4.0,1.0119321720878314,217,234.20615155599984,23.88725337647075,25.428432606578912,9.820534881683027,46,"{""apn_target_accel_gain"": 0.5, ""nav_gain"": 1e-09}",capture_lead_apn
beam,30.0,guidance_ablation_cv_4km_p30deg,193.2923187175151,46.38329019776107,1064.766607464244,1286.4833424344317,0.24537037037037038,True,N,-5.851977171065498,7.433886634865787,0.05427030777731803,326.4973666778539,47.0099420464858,34.99998941345311,6.124999999999999,35.0,0.55,2.5,29.086144788399938,"[""capture"", ""pn"", ""lead"", ""apn""]",3.5730865716803306,9.461038662695106,30.0,4.0,0.6307359108463404,216,326.4973666778539,22.13848632231984,23.794009730032094,9.527184586529268,47,"{""apn_target_accel_gain"": 0.5, ""nav_gain"": 4.0}",full
beam,30.0,guidance_ablation_cv_4km_p30deg,22.69788505899488,46.23279326991975,1066.452042190062,1193.9778404977537,0.2523364485981308,True,N,-4.631782033209306,5.908380367969866,0.043328651438722915,563.3409399678732,46.858638318713815,34.99994217543647,4.614772903382589,35.0,0.55,2.5,28.847264807392424,"[""capture"", ""pn"", ""lead"", ""apn"", ""unfiltered_track""]",3.5337923360299133,7.507612186827921,30.0,4.0,0.5005074791218614,214,563.3409399678732,22.101492088776812,23.585187512808318,0.11466311146828002,47,"{""apn_target_accel_gain"": 0.5, ""bearing_filter_tau_s"": 0.0, ""elevation_filter_tau_s"": 0.0, ""nav_gain"": 4.0, ""range_filter_tau_s"": 0.0}",full_no_track_filter
beam,30.0,guidance_ablation_cv_4km_p30deg,193.4355284790252,45.927060811137224,1065.3576291619843,1291.8687563194308,0.19626168224299065,True,N,-5.485436009376932,7.064109764302451,0.051309240919292606,329.6377472726653,46.5538431941014,35.0,6.124999999999999,35.0,0.55,2.5,29.452772227926037,"[""capture"", ""pn"", ""lead"", ""apn"", ""near_instant_scalar_autopilot""]",3.539362606515111,8.943952572173108,30.0,4.0,0.5962635048115406,214,329.6377472726653,22.09999091655062,22.1378426600501,9.659040779197861,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_tau_s"": 0.001, ""max_accel_response_g_per_s"": 1000000.0, ""nav_gain"": 4.0}",full_fast_scalar_autopilot
beam,30.0,guidance_ablation_cv_4km_p30deg,189.72825132156896,46.95826400733011,1058.9301412716127,1339.4643888263288,0.28440366972477066,True,N,-6.132307247936221,7.6665802104880685,0.05635041924292319,118.78100875816325,47.58611926657049,34.999869030400816,6.124999999999999,35.0,0.55,2.5,23.13230182381405,"[""capture"", ""pn"", ""lead"", ""apn"", ""second_order_autopilot""]",3.6047705762723568,9.81757707770521,30.0,4.0,0.6545051385136806,218,118.78100875816325,22.179263337376455,24.87930268724003,9.129747466370793,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_damping"": 1.0, ""autopilot_order"": 2, ""nav_gain"": 4.0}",full_autopilot_order2
beam,30.0,guidance_ablation_cv_4km_p30deg,169.27990195961885,48.75859206357357,1012.0088140989852,1241.73640804181,0.4117647058823529,True,N,-7.778673334352371,9.383524173395271,0.06985655333997082,292.3925630120633,49.08587519659921,34.99995923955278,6.124999999999999,35.0,0.55,2.5,28.267265242718715,"[""capture"", ""pn"", ""lead"", ""apn"", ""third_order_autopilot""]",3.6596254242732926,12.188649010177484,30.0,4.0,0.8125766006784989,221,292.3925630120633,22.56020875410395,29.706742854772312,9.79850510556531,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_damping"": 1.0, ""autopilot_order"": 3, ""nav_gain"": 4.0}",full_autopilot_order3
tail,-30.0,guidance_ablation_cv_6km_m30deg,144.6769893297683,-68.66574256456602,661.501340952224,792.1230810843192,0.1162079510703364,False,N,-75.45214365927538,-59.4055733269457,0.11183116223470417,109.88587416384468,69.16502320777242,34.99999474493566,0.0,35.0,0.0,0.0,0.0,"[""capture""]",5.434734550126164,96.03156060010637,30.0,6.0,6.402104040007091,327,109.88587416384468,33.90907738025528,34.34267360472731,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 1e-09}",capture_only
beam,-30.0,guidance_ablation_cv_6km_m30deg,146.8413743685481,-57.649868179796044,774.826103724659,927.2365171070876,0.09933774834437085,False,N,-38.83756087746977,-39.39877054063915,0.025733768739344257,174.13924826883505,57.649868179796044,34.99989761036524,0.0,35.0,0.0,0.0,0.0,"[""capture"", ""pn""]",5.028643467399439,55.32286974888379,30.0,6.0,3.6881913165922526,302,174.13924826883505,31.496042738185785,32.26985681192184,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 4.0}",capture_pn
beam,-30.0,guidance_ablation_cv_6km_m30deg,143.18099107010022,-56.817463804367875,849.6325900643176,1059.7277828353854,0.0641025641025641,False,N,-12.652043382820356,-12.710897112803089,0.009759210855264598,182.49424138650886,56.817463804367875,34.995393683074305,1.4941242313324573e-08,35.0,0.55,2.5,21.294281588373998,"[""capture"", ""lead""]",5.1932128656502705,17.934358154537527,30.0,6.0,1.1956238769691685,312,182.49424138650886,25.652276750432247,26.86090992748686,4.731828332114046,46,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 1e-09}",capture_lead
beam,-30.0,guidance_ablation_cv_6km_m30deg,160.37704539222614,-49.46544831037662,967.1406667122503,1186.5423316165761,0.0576271186440678,True,N,-6.777623962075057,-8.093754394642302,0.0011280406852966504,295.9722067286881,49.80799761638108,34.983100903645195,2.1579205950896392e-08,35.0,0.55,2.5,22.57474399278135,"[""capture"", ""pn"", ""lead""]",4.892047030853303,10.556753669786836,30.0,6.0,0.703783577985789,295,295.9722067286881,22.215370718834432,23.543239476950923,4.945781131603369,47,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 4.0}",capture_pn_lead
beam,-30.0,guidance_ablation_cv_6km_m30deg,156.05862586407633,-55.227636130227765,878.5174494848185,1069.2651587533708,0.06514657980456026,False,N,-12.099913165581777,-12.488244584210396,0.008169482586028596,246.37314033452176,55.60449132610159,34.995872252878264,6.124999999999999,35.0,0.55,2.5,21.331098819447103,"[""capture"", ""lead"", ""apn""]",5.101185081691185,17.38862323906414,30.0,6.0,1.1592415492709427,307,246.37314033452176,25.799971380358222,27.009986899321532,5.313710695368837,46,"{""apn_target_accel_gain"": 0.5, ""nav_gain"": 1e-09}",capture_lead_apn
beam,-30.0,guidance_ablation_cv_6km_m30deg,164.6660237372283,-48.76789064776452,974.6374075305823,1213.500851101555,0.05782312925170068,True,N,-6.519867435167813,-7.9309232973239325,0.000602915482241599,235.84161591331645,49.10781311522803,34.9809072461049,6.124999999999999,35.0,0.55,2.5,22.08412106006115,"[""capture"", ""pn"", ""lead"", ""apn""]",4.878130522565655,10.266850348753392,30.0,6.0,0.6844566899168928,294,235.84161591331645,21.891725202984226,23.236429076127397,4.748785663849286,47,"{""apn_target_accel_gain"": 0.5, ""nav_gain"": 4.0}",full
beam,-30.0,guidance_ablation_cv_6km_m30deg,27.40899612246362,-48.60482930279989,977.5425018743773,767.5619561710274,0.05802047781569966,True,N,-4.98441200212998,-6.0458402122081045,0.0008454169019587415,1909.6204601812494,49.28649961053296,34.984692667748924,3.369503239854941,35.0,0.55,2.5,28.847264807391383,"[""capture"", ""pn"", ""lead"", ""apn"", ""unfiltered_track""]",4.856091096231798,7.835594909976872,30.0,6.0,0.5223729939984582,293,1909.6204601812494,22.366520576781856,23.695126095063927,0.00647980452071455,47,"{""apn_target_accel_gain"": 0.5, ""bearing_filter_tau_s"": 0.0, ""elevation_filter_tau_s"": 0.0, ""nav_gain"": 4.0, ""range_filter_tau_s"": 0.0}",full_no_track_filter
beam,-30.0,guidance_ablation_cv_6km_m30deg,163.09103430219852,-48.75071505719189,967.9817070905465,1208.2230959729377,0.051194539249146756,True,N,-6.175053195707163,-7.529776879100696,0.0005756130751095249,240.3739082737235,49.09313892409889,35.0,6.124999999999999,35.0,0.55,2.5,22.259077497611372,"[""capture"", ""pn"", ""lead"", ""apn"", ""near_instant_scalar_autopilot""]",4.860776464604284,9.738009147160897,30.0,6.0,0.6492006098107265,293,240.3739082737235,22.194673662737216,22.22835320819516,4.817940608757659,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_tau_s"": 0.001, ""max_accel_response_g_per_s"": 1000000.0, ""nav_gain"": 4.0}",full_fast_scalar_autopilot
beam,-30.0,guidance_ablation_cv_6km_m30deg,178.87976710028408,-48.53561338535051,987.3555202832348,1248.5024170484933,0.061016949152542375,True,N,-6.759975078604413,-8.194436585794513,0.0006802236971038796,127.44944565956963,49.20872795814843,34.90044496564313,6.124999999999999,35.0,0.55,2.5,21.97934647464118,"[""capture"", ""pn"", ""lead"", ""apn"", ""second_order_autopilot""]",4.889228464444583,10.622902356920497,30.0,6.0,0.7081934904613665,295,127.44944565956963,21.834283493602594,23.953453828610858,4.56638063730069,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_damping"": 1.0, ""autopilot_order"": 2, ""nav_gain"": 4.0}",full_autopilot_order2
beam,-30.0,guidance_ablation_cv_6km_m30deg,179.36240683673574,-48.52099233966543,994.3647775682682,1251.682359720274,0.06418918918918919,True,N,-7.132469680715137,-8.633527875412444,0.0006885793522998665,134.45723157580244,49.187763632833345,34.825823040388116,6.124999999999999,35.0,0.55,2.5,21.84667143808465,"[""capture"", ""pn"", ""lead"", ""apn"", ""third_order_autopilot""]",4.9055678511131,11.198657410421344,30.0,6.0,0.7465771606947562,296,134.45723157580244,21.44966168683381,24.706869724492858,4.526886223996591,47,"{""apn_target_accel_gain"": 0.5, ""autopilot_damping"": 1.0, ""autopilot_order"": 3, ""nav_gain"": 4.0}",full_autopilot_order3
tail,30.0,guidance_ablation_cv_6km_p30deg,144.6769893297683,68.66574256456602,661.501340952224,792.1230810843192,0.1162079510703364,False,N,-75.3995162304948,59.469966835425474,0.549411097495593,109.88587416384468,69.16502320777242,34.99999474493566,0.0,35.0,0.0,0.0,0.0,"[""capture""]",5.434734594314776,96.03158780189614,30.0,6.0,6.402105853459743,327,109.88587416384468,33.90907738025528,34.34267360472731,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 1e-09}",capture_only
beam,30.0,guidance_ablation_cv_6km_p30deg,146.8413743685481,57.649868179796044,774.826103724659,927.2365171070876,0.09933774834437085,False,N,-38.80266977118329,39.4319211017439,0.3159089282454968,174.13924826883505,57.649868179796044,34.99989761036524,0.0,35.0,0.0,0.0,0.0,"[""capture"", ""pn""]",5.028643500457453,55.32290105911477,30.0,6.0,3.6881934039409847,302,174.13924826883505,31.496042738185793,32.26985681192185,0.0,46,"{""apn_target_accel_gain"": 0.0, ""nav_gain"": 4.0}",capture_pn
beam,30.0,guidance_ablation_cv_6km_p30deg,143.18099107010255,56.817463804367854,849.6325900643167,1059.7277828353886,0.0641025641025641,False,N,-12.640801540733136,12.721704674531354,0.10337649092527562,182.4942413864931,56.817463804367854,34.995393683074305,1.4941242313323773e-08,35.0,0.55,2.5,21.294281588373995,"[""capture"", ""lead""]",5.193212896381646,17.934389315420713,30.0,6.0,1.195625954361381,312,182.4942413864931,25.652276750432453,26.860909927487125,4.7318283321139445,46,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 1e-09}",capture_lead
beam,30.0,guidance_ablation_cv_6km_p30deg,160.37704539222614,49.46544831037662,967.1406667122503,1186.5423316165761,0.0576271186440678,True,N,-6.770474639960063,8.099553609139273,0.06073555550034587,295.9722067286881,49.80799761638108,34.983100903645195,2.1579205950896392e-08,35.0,0.55,2.5,22.57474399278135,"[""capture"", ""pn"", ""lead""]",4.892047056410767,10.556788542230152,30.0,6.0,0.7037859028153435,295,295.9722067286881,22.215370718834436,23.54323947695093,4.94578113160337,47,"{""apn_target_accel_gain"": 1e-09, ""nav_gain"": 4.0}",capture_pn_lead
