case_id,range_km,signed_bearing_deg,launch_class,first_review_stage,review_priority,review_reason,guidance_expectation_status,entered_R_fuze,rho_fuze,detonated,effect_band,rho_effect_case,load_signal,max_failure_probability,sampled_failure_count,component_response_band,response_signal
kces_anchor_grid_cv_4km_p0deg,4.0,0.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,9.08306619229721e-05,True,core,0.00015138443653828684,load_band_available,0.8896622497206044,3,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_4km_m15deg,4.0,-15.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,0.1996166560034541,True,effective,0.3326944266724235,load_band_available,0.8857869446659574,2,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_4km_p15deg,4.0,15.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze/load and observed sampled response,satisfied,True,0.19962086656975953,True,effective,0.3327014442829326,load_band_available,0.8856614848039789,2,sampled_failure_observed,sampled_failure_observed
kces_anchor_grid_cv_4km_m30deg,4.0,-30.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze and remained outside the selected effective-load radius without sampled response,satisfied,True,0.6307325565022268,True,outside_effect,1.0512209275037112,component_load_present_outside_case_band,0.008649500378608573,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_4km_p30deg,4.0,30.0,N,no_review_pressure,none,nominal cell satisfied guidance/fuze and remained outside the selected effective-load radius without sampled response,satisfied,True,0.6307359108463404,True,outside_effect,1.051226518077234,component_load_present_outside_case_band,0.008657485926310137,0,observed_probability_only,probability_only_no_sampled_failure
kces_anchor_grid_cv_4km_m45deg,4.0,-45.0,N,guidance_approach,high,nominal cell did not enter the declared fuze radius,guidance_or_model_residual,False,1.4958821510618132,False,outside_effect,2.493136918436355,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_4km_p45deg,4.0,45.0,N,guidance_approach,high,nominal cell did not enter the declared fuze radius,guidance_or_model_residual,False,1.4958840663799733,False,outside_effect,2.493140110633289,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_4km_m60deg,4.0,-60.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,14.237579633391924,False,outside_effect,23.72929938898654,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_4km_p60deg,4.0,60.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,14.237580525206322,False,outside_effect,23.72930087534387,no_load_signal,,0,no_response_rows,missing_response_fact
kces_anchor_grid_cv_4km_m75deg,4.0,-75.0,M,marginal_observation,low,"marginal launch-window cell is observed, not treated as failed",observed_marginal,False,114.71597000638722,False,outside_effect,191.19328334397872,no_load_signal,,0,no_response_rows,missing_response_fact
