case_id,range_km,signed_bearing_deg,diagnosis_bucket,diagnosis_reason,detail_projection_signal,detail_projection_reason,effect_band,rho_effect_case,component_load_row_count,strongest_component_effect_scale,weakest_component_effect_scale,component_response_row_count,max_failure_probability,sampled_failure_count,min_integrity_delta,primary_failure_mode,primary_component_system,component_detail_row_count,detail_weak_load_low_response_count,detail_strongest_load_component_name,detail_strongest_load_component_system,detail_strongest_load_effect_scale,detail_strongest_load_rho_effect_component,detail_max_probability_component_name,detail_max_probability_component_system,detail_max_probability,detail_max_probability_effect_scale,detail_max_probability_sampled_failure,baseline_case_id,baseline_abs_bearing_deg,baseline_effect_band,baseline_strongest_component_effect_scale,baseline_max_failure_probability,baseline_sampled_failure_count,baseline_min_integrity_delta,strongest_load_ratio_to_baseline,max_probability_ratio_to_baseline,abs_integrity_delta_ratio_to_baseline
kces_anchor_grid_cv_4km_m30deg,4.0,-30.0,outer_effect_low_component_load_probability_cliff,case-level outer-effective band maps to weak component load and very low response probability,all_component_rows_weak_load_low_response,all preserved component rows combine weak load scale with low response probability,outer_effective,0.6307325565022268,4,0.16074519706261,0.06369127972788957,4,0.008649500378608573,0,-0.005877934040605548,hydraulic_pressure_loss,flight_control,4,4,left_horizontal_tail_actuator_or_surface_component,flight_control,0.16074519706261,0.3476856242420917,left_aileron_actuator,flight_control,0.008649500378608573,0.12463459508655472,False,kces_anchor_grid_cv_4km_m15deg,15.0,core,0.9153543811683296,0.8857869446659574,2,-0.3768394611100312,0.1756097970028175,0.009764763898016605,0.015597979105721319
kces_anchor_grid_cv_4km_p30deg,4.0,30.0,outer_effect_low_component_load_probability_cliff,case-level outer-effective band maps to weak component load and very low response probability,all_component_rows_weak_load_low_response,all preserved component rows combine weak load scale with low response probability,outer_effective,0.6307359108463404,4,0.1613400679808985,0.09218317455489843,4,0.008657485926310137,0,-0.006433787619466558,hydraulic_pressure_loss,flight_control,4,4,right_horizontal_tail_actuator_or_surface_component,flight_control,0.1613400679808985,0.3486559343568196,right_aileron_actuator,flight_control,0.008657485926310137,0.12478405659579056,False,kces_anchor_grid_cv_4km_p15deg,15.0,core,0.9153543811683296,0.8856614848039789,2,-0.37679268742836824,0.17625967745406879,0.009775163620473206,0.01707513928515314
kces_anchor_grid_cv_6km_m30deg,6.0,-30.0,outer_effect_low_component_load_probability_cliff,case-level outer-effective band maps to weak component load and very low response probability,all_component_rows_weak_load_low_response,all preserved component rows combine weak load scale with low response probability,outer_effective,0.6844566899168928,4,0.13142752983439088,0.06,4,0.00731975324788651,0,-0.004209007883385629,hydraulic_pressure_loss,flight_control,4,4,left_horizontal_tail_actuator_or_surface_component,flight_control,0.13142752983439088,0.38071972309390467,left_aileron_actuator,flight_control,0.00731975324788651,0.09477518487772629,False,kces_anchor_grid_cv_6km_m15deg,15.0,core,0.9153543811683296,0.8857890082487979,2,-0.3768402304506422,0.1435810354309343,0.008263540391359833,0.011169210565316532
kces_anchor_grid_cv_6km_p30deg,6.0,30.0,outer_effect_low_component_load_probability_cliff,case-level outer-effective band maps to weak component load and very low response probability,all_component_rows_weak_load_low_response,all preserved component rows combine weak load scale with low response probability,outer_effective,0.684459042391009,4,0.1318421682169499,0.06268425799087171,4,0.007325613998941034,0,-0.00434434404579187,hydraulic_pressure_loss,flight_control,4,4,right_horizontal_tail_actuator_or_surface_component,flight_control,0.1318421682169499,0.38171320527517605,right_aileron_actuator,flight_control,0.007325613998941034,0.09489781855808496,False,kces_anchor_grid_cv_6km_p15deg,15.0,core,0.9153543811683296,0.8856564974238481,2,-0.3767908280438057,0.144034016692716,0.008271394180756763,0.011529856149488853
kces_anchor_grid_cv_8km_m30deg,8.0,-30.0,outer_effect_low_component_load_probability_cliff,case-level outer-effective band maps to weak component load and very low response probability,all_component_rows_weak_load_low_response,all preserved component rows combine weak load scale with low response probability,outer_effective,0.7308964200675603,3,0.11727138114478873,0.06,3,0.006350331908151525,0,-0.0032022456182774217,hydraulic_pressure_loss,flight_control,3,3,left_horizontal_tail_actuator_or_surface_component,flight_control,0.11727138114478873,0.4021191844431155,left_aileron_actuator,flight_control,0.006350331908151525,0.06944559267011326,False,kces_anchor_grid_cv_8km_m15deg,15.0,core,0.9153543811683296,0.8857907246812567,2,-0.37684087036737857,0.12811582438170802,0.007169110864687176,0.008497607000948659
kces_anchor_grid_cv_8km_p30deg,8.0,30.0,outer_effect_low_component_load_probability_cliff,case-level outer-effective band maps to weak component load and very low response probability,all_component_rows_weak_load_low_response,all preserved component rows combine weak load scale with low response probability,outer_effective,0.7308986250117762,4,0.11750353538707678,0.06,4,0.0063555841366786684,0,-0.004134513346590318,hydraulic_pressure_loss,flight_control,4,4,right_horizontal_tail_actuator_or_surface_component,flight_control,0.11750353538707678,0.40311860731986976,right_aileron_actuator,flight_control,0.0063555841366786684,0.06955096109949216,False,kces_anchor_grid_cv_8km_p15deg,15.0,core,0.9153543811683296,0.8856517531279012,2,-0.3767890592853771,0.12836944663672115,0.0071761661558646835,0.010973018575517794
