range_km,-90,-75,-60,-45,-30,-15,0,15,30,45,60,75,90
4,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect,effective,core,effective,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect
6,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect,effective,core,effective,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect
8,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect,effective,core,effective,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect
10,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect,effective,core,effective,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect
12,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect,effective,core,effective,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect
16,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect,effective,core,effective,outside_effect,outside_effect,outside_effect,outside_effect,outside_effect
