parent_component_name,target_hitbox_index,target_path,base_hitbox_component_count,patched_hitbox_component_count,parent_present_before_patch,parent_absent_after_patch,split_component_names,split_component_present_count,duplicate_component_name_count,behavior_status
engine_core,2,damage_model.hitboxes[2].components,7,9,True,True,engine_core_afterburner_segment;engine_core_hot_section_segment;engine_core_forward_compressor_segment,3,0,pass
wing_spar_center,3,damage_model.hitboxes[3].components,7,11,True,True,wing_spar_center_left_inner_wing_segment;wing_spar_center_left_root_segment;wing_spar_center_carrythrough_segment;wing_spar_center_right_root_segment;wing_spar_center_right_inner_wing_segment,5,0,pass
