candidate_id,case_id,diagnostics_profile_attached,entered_R_fuze,fuze_triggered,grid_tier,guidance_runtime_missing_acceleration_diagnostics_count,guidance_runtime_observation_count,guidance_saturation_fraction,max_achieved_lateral_g,max_capture_component_g,max_postclamp_command_g,max_preclamp_command_g,nav_gain,nearest_distance_m,offset_deg,range_km,range_m,resolved_guidance_runtime,resolved_runtime_contract_matches,resolved_runtime_contract_mismatches,rho_fuze,seed,signed_bearing_deg,stage4_launch_class
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p10deg_s20260621,False,True,True,main,0,203,0.0,14.218313253516554,0.0,14.237862745815258,14.237862745815258,3.5,0.001439364565118878,10.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.595763767459186e-05,20260621,10.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m10deg_s20260622,False,True,True,main,0,203,0.0,14.218313253516554,0.0,14.237862745815258,14.237862745815258,3.5,0.00141960859959845,10.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.464057330656333e-05,20260622,-10.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p10deg_s20260622,False,True,True,main,0,203,0.0,14.218313253516554,0.0,14.237862745815258,14.237862745815258,3.5,0.001439364565118878,10.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.595763767459186e-05,20260622,10.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m10deg_s20260623,False,True,True,main,0,203,0.0,14.218313253516554,0.0,14.237862745815258,14.237862745815258,3.5,0.00141960859959845,10.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.464057330656333e-05,20260623,-10.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p10deg_s20260623,False,True,True,main,0,203,0.0,14.218313253516554,0.0,14.237862745815258,14.237862745815258,3.5,0.001439364565118878,10.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],9.595763767459186e-05,20260623,10.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m15deg_s20260621,False,True,True,main,0,206,0.0,18.909911485753465,0.0,18.93576078256129,18.93576078256129,3.5,0.00230461552863067,15.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00015364103524204465,20260621,-15.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p15deg_s20260621,False,True,True,main,0,206,0.0,18.909911485753465,0.0,18.93576078256129,18.93576078256129,3.5,0.0023551951367324197,15.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00015701300911549464,20260621,15.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m15deg_s20260622,False,True,True,main,0,206,0.0,18.909911485753465,0.0,18.93576078256129,18.93576078256129,3.5,0.00230461552863067,15.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00015364103524204465,20260622,-15.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_p15deg_s20260622,False,True,True,main,0,206,0.0,18.909911485753465,0.0,18.93576078256129,18.93576078256129,3.5,0.0023551951367324197,15.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00015701300911549464,20260622,15.0,N
nav_gain_3p5,guidance_scalar_n3p5_main_4km_m15deg_s20260623,False,True,True,main,0,206,0.0,18.909911485753465,0.0,18.93576078256129,18.93576078256129,3.5,0.00230461552863067,15.0,4.0,4000.0,"{""apn_target_accel_gain"": 0.5, ""capture_guidance_mode"": 0, ""guidance_max_lateral_g"": 35.0, ""nav_gain"": 3.5, ""pn_los_rate_source"": 1, ""target_kinematics_estimator"": 1, ""target_tracker_alpha"": 0.2, ""target_tracker_beta"": 0.02}",True,[],0.00015364103524204465,20260623,-15.0,N
